"flResult","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","inResult","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","sResult","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,8.5807e+08,0,0,0,0,2.2029e+17,-2.1267e+18,-1.9064e+18,3.439e+11,0,0,1.9619e+12,7.8582e+28,19688,0,0,-5.9498e+11,-4.8068e+18,1.3353e+12,0,5.625e+09,3.9291e+32,2.2428e+07,1,0,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0184e+18,7.4556e+10,3.0184e+18,3.439e+11,0,0,2.0176e+12,7.8582e+28,19688,0,0,-5.9498e+11,1.1795e+17,1.8761e+12,0,5.625e+09,3.9291e+32,0,1,0,937.5,1.5e+05,0,0,0,8.5807e+08,0,0,0,0,2.2029e+17,-2.1267e+18,-1.9064e+18,3.439e+11,0,0,1.9619e+12,7.8582e+28,19688,0,0,-5.9498e+11,-4.8068e+18,1.3353e+12,0,5.625e+09,3.9291e+32,2.2428e+07,1,0,937.5,1.5e+05,0,0,0,8.5807e+08,0,0,0,0,2.2029e+17,-2.1267e+18,-1.9064e+18,3.439e+11,0,0,1.9619e+12,7.8582e+28,19688,0,0,-5.9498e+11,-4.8068e+18,1.3353e+12,0,5.625e+09,3.9291e+32,2.2428e+07,1,0,937.5,1.5e+05,0
0,0,8.5807e+08,0,0,0,0,2.9671e+17,-2.053e+18,-1.7563e+18,3.5687e+11,0,0,1.962e+12,7.5857e+28,19688,0,0,-5.8201e+11,-4.6567e+18,1.3574e+12,0,5.625e+09,3.7929e+32,2.0733e+07,1,3022.1,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0173e+18,-1.9492e+08,3.0173e+18,3.5724e+11,0,0,2.016e+12,7.5816e+28,19688,0,0,-5.8164e+11,1.1691e+17,1.8744e+12,0,5.625e+09,3.7908e+32,0,1,3124.9,937.5,1.5e+05,0,0,0,8.5807e+08,0,0,0,0,2.9671e+17,-2.053e+18,-1.7563e+18,3.5687e+11,0,0,1.962e+12,7.5857e+28,19688,0,0,-5.8201e+11,-4.6567e+18,1.3574e+12,0,5.625e+09,3.7929e+32,2.0733e+07,1,3022.1,937.5,1.5e+05,0,0,0,8.5807e+08,0,0,0,0,2.9671e+17,-2.053e+18,-1.7563e+18,3.5687e+11,0,0,1.962e+12,7.5857e+28,19688,0,0,-5.8201e+11,-4.6567e+18,1.3574e+12,0,5.625e+09,3.7929e+32,2.0733e+07,1,3022.1,937.5,1.5e+05,0
0,0,8.5806e+08,0,0,0,0,3.5726e+17,-1.9971e+18,-1.6399e+18,3.6811e+11,0,0,1.962e+12,7.3762e+28,19688,0,0,-5.7077e+11,-4.5403e+18,1.374e+12,0,5.625e+09,3.6881e+32,2.0823e+07,1,5439.8,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0165e+18,-7.7161e+08,3.0165e+18,3.6879e+11,0,0,2.0146e+12,7.369e+28,19688,0,0,-5.7009e+11,1.1605e+17,1.873e+12,0,5.625e+09,3.6845e+32,0,1,5624.7,937.5,1.5e+05,0,0,0,8.5806e+08,0,0,0,0,3.5726e+17,-1.9971e+18,-1.6399e+18,3.6811e+11,0,0,1.962e+12,7.3762e+28,19688,0,0,-5.7077e+11,-4.5403e+18,1.374e+12,0,5.625e+09,3.6881e+32,2.0823e+07,1,5439.8,937.5,1.5e+05,0,0,0,8.5806e+08,0,0,0,0,3.5726e+17,-1.9971e+18,-1.6399e+18,3.6811e+11,0,0,1.962e+12,7.3762e+28,19688,0,0,-5.7077e+11,-4.5403e+18,1.374e+12,0,5.625e+09,3.6881e+32,2.0823e+07,1,5439.8,937.5,1.5e+05,0
0,0,8.5805e+08,0,0,0,0,4.1622e+17,-1.9427e+18,-1.5265e+18,3.7931e+11,0,0,1.9619e+12,7.1723e+28,19688,0,0,-5.5956e+11,-4.4269e+18,1.3899e+12,0,5.625e+09,3.5861e+32,2.1741e+07,1,7857.4,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0156e+18,-9.3481e+08,3.0156e+18,3.8029e+11,0,0,2.0132e+12,7.1622e+28,19688,0,0,-5.5859e+11,1.1515e+17,1.8716e+12,0,5.625e+09,3.5811e+32,0,1,8124.5,937.5,1.5e+05,0,0,0,8.5805e+08,0,0,0,0,4.1622e+17,-1.9427e+18,-1.5265e+18,3.7931e+11,0,0,1.9619e+12,7.1723e+28,19688,0,0,-5.5956e+11,-4.4269e+18,1.3899e+12,0,5.625e+09,3.5861e+32,2.1741e+07,1,7857.4,937.5,1.5e+05,0,0,0,8.5805e+08,0,0,0,0,4.1622e+17,-1.9427e+18,-1.5265e+18,3.7931e+11,0,0,1.9619e+12,7.1723e+28,19688,0,0,-5.5956e+11,-4.4269e+18,1.3899e+12,0,5.625e+09,3.5861e+32,2.1741e+07,1,7857.4,937.5,1.5e+05,0
0,0,8.5805e+08,0,0,0,0,4.7354e+17,-1.8896e+18,-1.4161e+18,3.9046e+11,0,0,1.9618e+12,6.9736e+28,19688,0,0,-5.4841e+11,-4.3165e+18,1.405e+12,0,5.625e+09,3.4868e+32,2.2804e+07,1,10275,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0147e+18,-1.1706e+09,3.0147e+18,3.9173e+11,0,0,2.0118e+12,6.9606e+28,19688,0,0,-5.4715e+11,1.1422e+17,1.8701e+12,0,5.625e+09,3.4803e+32,0,1,10624,937.5,1.5e+05,0,0,0,8.5805e+08,0,0,0,0,4.7354e+17,-1.8896e+18,-1.4161e+18,3.9046e+11,0,0,1.9618e+12,6.9736e+28,19688,0,0,-5.4841e+11,-4.3165e+18,1.405e+12,0,5.625e+09,3.4868e+32,2.2804e+07,1,10275,937.5,1.5e+05,0,0,0,8.5805e+08,0,0,0,0,4.7354e+17,-1.8896e+18,-1.4161e+18,3.9046e+11,0,0,1.9618e+12,6.9736e+28,19688,0,0,-5.4841e+11,-4.3165e+18,1.405e+12,0,5.625e+09,3.4868e+32,2.2804e+07,1,10275,937.5,1.5e+05,0
0,0,8.5804e+08,0,0,0,0,5.2925e+17,-1.8379e+18,-1.3086e+18,4.0155e+11,0,0,1.9617e+12,6.7799e+28,19688,0,0,-5.3733e+11,-4.2091e+18,1.4193e+12,0,5.625e+09,3.39e+32,2.3987e+07,1,12693,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0137e+18,-1.592e+09,3.0137e+18,4.0311e+11,0,0,2.0104e+12,6.7642e+28,19688,0,0,-5.3577e+11,1.1326e+17,1.8687e+12,0,5.625e+09,3.3821e+32,0,1,13124,937.5,1.5e+05,0,0,0,8.5804e+08,0,0,0,0,5.2925e+17,-1.8379e+18,-1.3086e+18,4.0155e+11,0,0,1.9617e+12,6.7799e+28,19688,0,0,-5.3733e+11,-4.2091e+18,1.4193e+12,0,5.625e+09,3.39e+32,2.3987e+07,1,12693,937.5,1.5e+05,0,0,0,8.5804e+08,0,0,0,0,5.2925e+17,-1.8379e+18,-1.3086e+18,4.0155e+11,0,0,1.9617e+12,6.7799e+28,19688,0,0,-5.3733e+11,-4.2091e+18,1.4193e+12,0,5.625e+09,3.39e+32,2.3987e+07,1,12693,937.5,1.5e+05,0
0,0,8.5804e+08,0,0,0,0,5.8338e+17,-1.7874e+18,-1.204e+18,4.1258e+11,0,0,1.9616e+12,6.5912e+28,19688,0,0,-5.263e+11,-4.1044e+18,1.433e+12,0,5.625e+09,3.2956e+32,2.5295e+07,1,15110,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0127e+18,-2.0558e+09,3.0127e+18,4.1442e+11,0,0,2.009e+12,6.5729e+28,19688,0,0,-5.2446e+11,1.1228e+17,1.8673e+12,0,5.625e+09,3.2864e+32,0,1,15624,937.5,1.5e+05,0,0,0,8.5804e+08,0,0,0,0,5.8338e+17,-1.7874e+18,-1.204e+18,4.1258e+11,0,0,1.9616e+12,6.5912e+28,19688,0,0,-5.263e+11,-4.1044e+18,1.433e+12,0,5.625e+09,3.2956e+32,2.5295e+07,1,15110,937.5,1.5e+05,0,0,0,8.5804e+08,0,0,0,0,5.8338e+17,-1.7874e+18,-1.204e+18,4.1258e+11,0,0,1.9616e+12,6.5912e+28,19688,0,0,-5.263e+11,-4.1044e+18,1.433e+12,0,5.625e+09,3.2956e+32,2.5295e+07,1,15110,937.5,1.5e+05,0
0,0,8.5803e+08,0,0,0,0,6.3596e+17,-1.7381e+18,-1.1021e+18,4.2354e+11,0,0,1.9614e+12,6.4073e+28,19688,0,0,-5.1534e+11,-4.0026e+18,1.4461e+12,0,5.625e+09,3.2036e+32,2.6659e+07,1,17528,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0117e+18,-2.4703e+09,3.0117e+18,4.2566e+11,0,0,2.0076e+12,6.3863e+28,19688,0,0,-5.1322e+11,1.1126e+17,1.8659e+12,0,5.625e+09,3.1931e+32,0,1,18124,937.5,1.5e+05,0,0,0,8.5803e+08,0,0,0,0,6.3596e+17,-1.7381e+18,-1.1021e+18,4.2354e+11,0,0,1.9614e+12,6.4073e+28,19688,0,0,-5.1534e+11,-4.0026e+18,1.4461e+12,0,5.625e+09,3.2036e+32,2.6659e+07,1,17528,937.5,1.5e+05,0,0,0,8.5803e+08,0,0,0,0,6.3596e+17,-1.7381e+18,-1.1021e+18,4.2354e+11,0,0,1.9614e+12,6.4073e+28,19688,0,0,-5.1534e+11,-4.0026e+18,1.4461e+12,0,5.625e+09,3.2036e+32,2.6659e+07,1,17528,937.5,1.5e+05,0
0,0,8.5802e+08,0,0,0,0,6.9957e+17,-1.6781e+18,-9.7858e+17,4.3716e+11,0,0,1.9611e+12,6.1838e+28,19688,0,0,-5.0172e+11,-3.879e+18,1.4616e+12,0,5.625e+09,3.0919e+32,2.8262e+07,1,20550,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0106e+18,-2.8774e+09,3.0106e+18,4.3683e+11,0,0,2.0062e+12,6.2044e+28,19688,0,0,-5.0205e+11,1.1021e+17,1.8645e+12,0,5.625e+09,3.1022e+32,0,1,20624,937.5,1.5e+05,0,0,0,8.5802e+08,0,0,0,0,6.9957e+17,-1.6781e+18,-9.7858e+17,4.3716e+11,0,0,1.9611e+12,6.1838e+28,19688,0,0,-5.0172e+11,-3.879e+18,1.4616e+12,0,5.625e+09,3.0919e+32,2.8262e+07,1,20550,937.5,1.5e+05,0,0,0,8.5802e+08,0,0,0,0,6.9957e+17,-1.6781e+18,-9.7858e+17,4.3716e+11,0,0,1.9611e+12,6.1838e+28,19688,0,0,-5.0172e+11,-3.879e+18,1.4616e+12,0,5.625e+09,3.0919e+32,2.8262e+07,1,20550,937.5,1.5e+05,0
0,0,8.5802e+08,0,0,0,0,7.488e+17,-1.6315e+18,-8.827e+17,4.4798e+11,0,0,1.9609e+12,6.01e+28,19688,0,0,-4.909e+11,-3.7831e+18,1.4733e+12,0,5.625e+09,3.005e+32,2.9742e+07,1,22968,937.5,1.5e+05,0,0,0,8.4375e+08,0,0,0,0,3.0096e+18,-3.2412e+09,3.0096e+18,4.4794e+11,0,0,2.0048e+12,6.0271e+28,19688,0,0,-4.9094e+11,1.0913e+17,1.8631e+12,0,5.625e+09,3.0136e+32,0,1,23124,937.5,1.5e+05,0,0,0,8.5802e+08,0,0,0,0,7.488e+17,-1.6315e+18,-8.827e+17,4.4798e+11,0,0,1.9609e+12,6.01e+28,19688,0,0,-4.909e+11,-3.7831e+18,1.4733e+12,0,5.625e+09,3.005e+32,2.9742e+07,1,22968,937.5,1.5e+05,0,0,0,8.5802e+08,0,0,0,0,7.488e+17,-1.6315e+18,-8.827e+17,4.4798e+11,0,0,1.9609e+12,6.01e+28,19688,0,0,-4.909e+11,-3.7831e+18,1.4733e+12,0,5.625e+09,3.005e+32,2.9742e+07,1,22968,937.5,1.5e+05,0
