"velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","adiabatic_heating","latent_heat","shear_heating","adiabatic_heating_of_melt","shear_heating_with_melt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1.5,0,0,0,0,1.0192e+10,-367.61,1.0192e+10,1990,0,0,3482,2.4393e+18,3.5e-05,0,0,249.8,-1.7788e+08,3501.3,0,10,1.2196e+22,0,-0.00011528,0,1.0105e-21,0,2.5263e-18,1,0,0,0,0
0,1.5,0,0,0,0,1.0182e+10,-367.63,1.0182e+10,1989.8,5.2864e-26,-7.7157e-08,3481.9,2.4393e+18,3.5e-05,0,0,249.78,-1.7778e+08,3500.8,0,10,1.2196e+22,0,-0.00011526,0,1.0382e-21,6.0919e-30,2.5739e-18,1,300,0,300,0
0,1.5,0,0,0,0,1.0171e+10,-367.64,1.0171e+10,1989.7,1.0573e-25,-1.5431e-07,3481.8,2.4393e+18,3.5e-05,0,0,249.76,-1.7769e+08,3500.3,0,10,1.2196e+22,0,-0.00011525,0,1.0659e-21,1.2184e-29,2.6216e-18,1,600,0,600,0
0,1.5,0,0,0,0,1.0161e+10,-367.66,1.0161e+10,1989.5,1.5859e-25,-2.3147e-07,3481.7,2.4393e+18,3.5e-05,0,0,249.74,-1.7759e+08,3499.7,0,10,1.2196e+22,0,-0.00011524,0,1.0935e-21,1.8276e-29,2.6692e-18,1,900,0,900,0
0,1.5,0,0,0,0,1.015e+10,-367.61,1.015e+10,1989.3,2.3757e-25,-2.7869e-07,3481.6,2.4393e+18,3.5e-05,0,0,249.72,-1.7749e+08,3499.2,0,10,1.2196e+22,0,-0.00011522,0,1.5903e-21,2.7372e-29,3.9446e-18,1,1200,0,1200,0
0,1.5,0,0,0,0,1.014e+10,-367.54,1.014e+10,1989.2,3.2028e-25,-3.2162e-07,3481.4,2.4393e+18,3.5e-05,0,0,249.69,-1.7739e+08,3498.7,0,10,1.2196e+22,0,-0.00011521,0,1.5173e-21,3.6898e-29,3.821e-18,1,1500,0,1500,0
0,1.5,0,0,0,0,1.0129e+10,-367.48,1.0129e+10,1989,4.0299e-25,-3.6456e-07,3481.3,2.4393e+18,3.5e-05,0,0,249.67,-1.773e+08,3498.1,0,10,1.2196e+22,0,-0.0001152,0,1.4444e-21,4.6423e-29,3.6973e-18,1,1800,0,1800,0
0,1.5,0,0,0,0,1.0119e+10,-367.37,1.0119e+10,1988.8,5.8087e-25,-1.7288e-07,3481.2,2.4393e+18,3.5e-05,0,0,249.65,-1.772e+08,3497.6,0,10,1.2196e+22,0,-0.00011518,0,1.8556e-21,6.6901e-29,4.7469e-18,1,2100,0,2100,0
0,1.5,0,0,0,0,1.0109e+10,-367.25,1.0109e+10,1988.7,7.9046e-25,9.7002e-08,3481.1,2.4393e+18,3.5e-05,0,0,249.63,-1.771e+08,3497.1,0,10,1.2196e+22,0,-0.00011517,0,1.4576e-21,9.1031e-29,3.7304e-18,1,2400,0,2400,0
0,1.5,0,0,0,0,1.0098e+10,-367.12,1.0098e+10,1988.5,1e-24,3.6689e-07,3481,2.4393e+18,3.5e-05,0,0,249.61,-1.77e+08,3496.5,0,10,1.2196e+22,0,-0.00011516,0,1.0596e-21,1.1516e-28,2.7138e-18,1,2700,0,2700,0
