"velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","adiabatic_heating","latent_heat","shear_heating","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1.5,0,0,0,0,1.0199e+10,-465.17,1.0199e+10,1990,0,0,3482.1,2.4393e+18,3.5e-05,0,0,249.8,-1.7132e+08,3501.6,0,10,1.2196e+22,0,-0.00011528,0,1.3317e-21,1,0,0,0,0
0,1.5,0,0,0,0,1.0188e+10,-465.07,1.0188e+10,1989.8,-1.407e-24,5.0074e-09,3482,2.4393e+18,3.5e-05,0,0,249.78,-1.7122e+08,3501.1,0,10,1.2196e+22,0,-0.00011527,0,1.4761e-21,1,300,0,300,0
0,1.5,0,0,0,0,1.0178e+10,-464.97,1.0178e+10,1989.7,-2.8139e-24,1.0015e-08,3481.9,2.4393e+18,3.5e-05,0,0,249.76,-1.7112e+08,3500.6,0,10,1.2196e+22,0,-0.00011525,0,1.6204e-21,1,600,0,600,0
0,1.5,0,0,0,0,1.0167e+10,-464.87,1.0167e+10,1989.5,-4.2209e-24,1.5022e-08,3481.7,2.4393e+18,3.5e-05,0,0,249.74,-1.7103e+08,3500.1,0,10,1.2196e+22,0,-0.00011524,0,1.7647e-21,1,900,0,900,0
0,1.5,0,0,0,0,1.0157e+10,-464.8,1.0157e+10,1989.3,2.8567e-23,-8.7696e-08,3481.6,2.4393e+18,3.5e-05,0,0,249.72,-1.7093e+08,3499.5,0,10,1.2196e+22,0,-0.00011523,0,2.3366e-21,1,1200,0,1200,0
0,1.5,0,0,0,0,1.0146e+10,-464.74,1.0146e+10,1989.2,6.6239e-23,-2.058e-07,3481.5,2.4393e+18,3.5e-05,0,0,249.69,-1.7083e+08,3499,0,10,1.2196e+22,0,-0.00011521,0,2.066e-21,1,1500,0,1500,0
0,1.5,0,0,0,0,1.0136e+10,-464.67,1.0136e+10,1989,1.0391e-22,-3.2391e-07,3481.4,2.4393e+18,3.5e-05,0,0,249.67,-1.7073e+08,3498.5,0,10,1.2196e+22,0,-0.0001152,0,1.7954e-21,1,1800,0,1800,0
0,1.5,0,0,0,0,1.0126e+10,-464.63,1.0126e+10,1988.8,2.3997e-22,-2.3233e-07,3481.3,2.4393e+18,3.5e-05,0,0,249.65,-1.7064e+08,3497.9,0,10,1.2196e+22,0,-0.00011519,0,2.3735e-21,1,2100,0,2100,0
0,1.5,0,0,0,0,1.0115e+10,-464.6,1.0115e+10,1988.7,4.0883e-22,-7.0845e-08,3481.2,2.4393e+18,3.5e-05,0,0,249.63,-1.7054e+08,3497.4,0,10,1.2196e+22,0,-0.00011517,0,1.9939e-21,1,2400,0,2400,0
0,1.5,0,0,0,0,1.0105e+10,-464.57,1.0105e+10,1988.5,5.7768e-22,9.0636e-08,3481.1,2.4393e+18,3.5e-05,0,0,249.61,-1.7044e+08,3496.9,0,10,1.2196e+22,0,-0.00011516,0,1.6144e-21,1,2700,0,2700,0
0,1.5,0,0,0,0,1.0094e+10,-464.52,1.0094e+10,1988.3,1.0364e-21,1.9422e-07,3480.9,2.4393e+18,3.5e-05,0,0,249.59,-1.7034e+08,3496.3,0,10,1.2196e+22,0,-0.00011515,0,1.9935e-21,1,3000,0,3000,0
0,1.5,0,0,0,0,1.0084e+10,-464.46,1.0084e+10,1988.2,1.6691e-21,2.6306e-07,3480.8,2.4393e+18,3.5e-05,0,0,249.57,-1.7025e+08,3495.8,0,10,1.2196e+22,0,-0.00011513,0,1.726e-21,1,3300,0,3300,0
0,1.5,0,0,0,0,1.0073e+10,-464.4,1.0073e+10,1988,2.3017e-21,3.3191e-07,3480.7,2.4393e+18,3.5e-05,0,0,249.55,-1.7015e+08,3495.3,0,10,1.2196e+22,0,-0.00011512,0,1.4585e-21,1,3600,0,3600,0
0,1.5,0,0,0,0,1.0063e+10,-464.33,1.0063e+10,1987.8,3.6914e-21,2.7703e-07,3480.6,2.4393e+18,3.5e-05,0,0,249.53,-1.7005e+08,3494.7,0,10,1.2196e+22,0,-0.00011511,0,2.209e-21,1,3900,0,3900,0
0,1.5,0,0,0,0,1.0052e+10,-464.27,1.0052e+10,1987.7,5.8382e-21,9.8438e-08,3480.5,2.4393e+18,3.5e-05,0,0,249.51,-1.6995e+08,3494.2,0,10,1.2196e+22,0,-0.00011509,0,1.9397e-21,1,4200,0,4200,0
0,1.5,0,0,0,0,1.0042e+10,-464.2,1.0042e+10,1987.5,7.9849e-21,-8.0156e-08,3480.4,2.4393e+18,3.5e-05,0,0,249.49,-1.6986e+08,3493.7,0,10,1.2196e+22,0,-0.00011508,0,1.6704e-21,1,4500,0,4500,0
0,1.5,0,0,0,0,1.0032e+10,-464.13,1.0032e+10,1987.3,1.1887e-20,-2.0771e-07,3480.3,2.4393e+18,3.5e-05,0,0,249.46,-1.6976e+08,3493.1,0,10,1.2196e+22,0,-0.00011507,0,2.2731e-21,1,4800,0,4800,0
0,1.5,0,0,0,0,1.0021e+10,-464.07,1.0021e+10,1987.2,1.8714e-20,-2.5019e-07,3480.1,2.4393e+18,3.5e-05,0,0,249.44,-1.6966e+08,3492.6,0,10,1.2196e+22,0,-0.00011505,0,1.9961e-21,1,5100,0,5100,0
0,1.5,0,0,0,0,1.0011e+10,-464.01,1.0011e+10,1987,2.5541e-20,-2.9266e-07,3480,2.4393e+18,3.5e-05,0,0,249.42,-1.6956e+08,3492.1,0,10,1.2196e+22,0,-0.00011504,0,1.7192e-21,1,5400,0,5400,0
0,1.5,0,0,0,0,1e+10,-463.95,1e+10,1986.8,3.5833e-20,-3.1829e-07,3479.9,2.4393e+18,3.5e-05,0,0,249.4,-1.6947e+08,3491.5,0,10,1.2196e+22,0,-0.00011503,0,2.2453e-21,1,5700,0,5700,0
0,1.5,0,0,0,0,9.9898e+09,-463.88,9.9898e+09,1986.7,5.652e-20,-2.9333e-07,3479.8,2.4393e+18,3.5e-05,0,0,249.38,-1.6937e+08,3491,0,10,1.2196e+22,0,-0.00011501,0,1.9705e-21,1,6000,0,6000,0
0,1.5,0,0,0,0,9.9794e+09,-463.82,9.9794e+09,1986.5,7.7208e-20,-2.6838e-07,3479.7,2.4393e+18,3.5e-05,0,0,249.36,-1.6927e+08,3490.5,0,10,1.2196e+22,0,-0.000115,0,1.6958e-21,1,6300,0,6300,0
0,1.5,0,0,0,0,9.9689e+09,-463.75,9.9689e+09,1986.3,1.0284e-19,-2.5537e-07,3479.6,2.4393e+18,3.5e-05,0,0,249.34,-1.6917e+08,3489.9,0,10,1.2196e+22,0,-0.00011499,0,2.4455e-21,1,6600,0,6600,0
0,1.5,0,0,0,0,9.9585e+09,-463.68,9.9585e+09,1986.2,1.6311e-19,-3.2596e-07,3479.5,2.4393e+18,3.5e-05,0,0,249.32,-1.6908e+08,3489.4,0,10,1.2196e+22,0,-0.00011497,0,2.1693e-21,1,6900,0,6900,0
0,1.5,0,0,0,0,9.9481e+09,-463.61,9.9481e+09,1986,2.2337e-19,-3.9655e-07,3479.4,2.4393e+18,3.5e-05,0,0,249.3,-1.6898e+08,3488.9,0,10,1.2196e+22,0,-0.00011496,0,1.8931e-21,1,7200,0,7200,0
0,1.5,0,0,0,0,9.9376e+09,-463.54,9.9376e+09,1985.8,2.8363e-19,-4.6713e-07,3479.2,2.4393e+18,3.5e-05,0,0,249.28,-1.6888e+08,3488.3,0,10,1.2196e+22,0,-0.00011494,0,1.6169e-21,1,7500,0,7500,0
0,1.5,0,0,0,0,9.9272e+09,-463.48,9.9272e+09,1985.7,4.5323e-19,-5.5385e-07,3479.1,2.4393e+18,3.5e-05,0,0,249.25,-1.6878e+08,3487.8,0,10,1.2196e+22,0,-0.00011493,0,2.2051e-21,1,7800,0,7800,0
0,1.5,0,0,0,0,9.9168e+09,-463.43,9.9168e+09,1985.5,6.2283e-19,-6.4057e-07,3479,2.4393e+18,3.5e-05,0,0,249.23,-1.6869e+08,3487.3,0,10,1.2196e+22,0,-0.00011492,0,1.8638e-21,1,8100,0,8100,0
0,1.5,0,0,0,0,9.9063e+09,-463.37,9.9063e+09,1985.3,7.9243e-19,-7.2728e-07,3478.9,2.4393e+18,3.5e-05,0,0,249.21,-1.6859e+08,3486.7,0,10,1.2196e+22,0,-0.0001149,0,1.5225e-21,1,8400,0,8400,0
