"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,8.4375e+08,0,0,0,0,3.0184e+18,7.4556e+10,3.0184e+18,3.439e+11,0,0,2.0176e+12,7.8582e+28,19688,0,0,-5.9498e+11,1.1795e+17,1.8761e+12,0,5.625e+09,3.9291e+32,0,1,0,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0173e+18,-1.9492e+08,3.0173e+18,3.5724e+11,0,0,2.016e+12,7.5816e+28,19688,0,0,-5.8164e+11,1.1691e+17,1.8744e+12,0,5.625e+09,3.7908e+32,0,1,3124.9,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0165e+18,-7.7161e+08,3.0165e+18,3.6879e+11,0,0,2.0146e+12,7.369e+28,19688,0,0,-5.7009e+11,1.1605e+17,1.873e+12,0,5.625e+09,3.6845e+32,0,1,5624.7,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0156e+18,-9.3481e+08,3.0156e+18,3.8029e+11,0,0,2.0132e+12,7.1622e+28,19688,0,0,-5.5859e+11,1.1515e+17,1.8716e+12,0,5.625e+09,3.5811e+32,0,1,8124.5,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0147e+18,-1.1706e+09,3.0147e+18,3.9173e+11,0,0,2.0118e+12,6.9606e+28,19688,0,0,-5.4715e+11,1.1422e+17,1.8701e+12,0,5.625e+09,3.4803e+32,0,1,10624,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0137e+18,-1.592e+09,3.0137e+18,4.0311e+11,0,0,2.0104e+12,6.7642e+28,19688,0,0,-5.3577e+11,1.1326e+17,1.8687e+12,0,5.625e+09,3.3821e+32,0,1,13124,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0127e+18,-2.0558e+09,3.0127e+18,4.1442e+11,0,0,2.009e+12,6.5729e+28,19688,0,0,-5.2446e+11,1.1228e+17,1.8673e+12,0,5.625e+09,3.2864e+32,0,1,15624,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0117e+18,-2.4703e+09,3.0117e+18,4.2566e+11,0,0,2.0076e+12,6.3863e+28,19688,0,0,-5.1322e+11,1.1126e+17,1.8659e+12,0,5.625e+09,3.1931e+32,0,1,18124,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0106e+18,-2.8774e+09,3.0106e+18,4.3683e+11,0,0,2.0062e+12,6.2044e+28,19688,0,0,-5.0205e+11,1.1021e+17,1.8645e+12,0,5.625e+09,3.1022e+32,0,1,20624,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0096e+18,-3.2412e+09,3.0096e+18,4.4794e+11,0,0,2.0048e+12,6.0271e+28,19688,0,0,-4.9094e+11,1.0913e+17,1.8631e+12,0,5.625e+09,3.0136e+32,0,1,23124,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0085e+18,-3.475e+09,3.0085e+18,4.5898e+11,0,0,2.0035e+12,5.8542e+28,19688,0,0,-4.799e+11,1.0802e+17,1.8618e+12,0,5.625e+09,2.9271e+32,0,1,25624,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0073e+18,-3.9691e+09,3.0073e+18,4.6995e+11,0,0,2.0021e+12,5.6857e+28,19688,0,0,-4.6893e+11,1.0689e+17,1.8604e+12,0,5.625e+09,2.8428e+32,0,1,28124,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0062e+18,-4.0823e+09,3.0062e+18,4.8085e+11,0,0,2.0008e+12,5.5213e+28,19688,0,0,-4.5802e+11,1.0572e+17,1.859e+12,0,5.625e+09,2.7607e+32,0,1,30624,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.005e+18,-4.4445e+09,3.005e+18,4.9169e+11,0,0,1.9994e+12,5.361e+28,19688,0,0,-4.4719e+11,1.0453e+17,1.8577e+12,0,5.625e+09,2.6805e+32,0,1,33124,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0037e+18,-4.7641e+09,3.0037e+18,5.0246e+11,0,0,1.9981e+12,5.2047e+28,19688,0,0,-4.3642e+11,1.0331e+17,1.8563e+12,0,5.625e+09,2.6024e+32,0,1,35624,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0025e+18,-5.0753e+09,3.0025e+18,5.1317e+11,0,0,1.9968e+12,5.0523e+28,19688,0,0,-4.2571e+11,1.0206e+17,1.855e+12,0,5.625e+09,2.5261e+32,0,1,38124,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,3.0012e+18,-5.4304e+09,3.0012e+18,5.2381e+11,0,0,1.9955e+12,4.9036e+28,19688,0,0,-4.1507e+11,1.0079e+17,1.8537e+12,0,5.625e+09,2.4518e+32,0,1,40624,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9999e+18,-5.8173e+09,2.9999e+18,5.3438e+11,0,0,1.9942e+12,4.7586e+28,19688,0,0,-4.045e+11,9.9485e+16,1.8524e+12,0,5.625e+09,2.3793e+32,0,1,43124,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9986e+18,-6.1404e+09,2.9986e+18,5.4488e+11,0,0,1.9929e+12,4.6171e+28,19688,0,0,-3.94e+11,9.8156e+16,1.8511e+12,0,5.625e+09,2.3086e+32,0,1,45623,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9972e+18,-6.2254e+09,2.9972e+18,5.5532e+11,0,0,1.9916e+12,4.4791e+28,19688,0,0,-3.8356e+11,9.6801e+16,1.8498e+12,0,5.625e+09,2.2396e+32,0,1,48123,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9959e+18,-6.8391e+09,2.9959e+18,5.657e+11,0,0,1.9903e+12,4.3445e+28,19688,0,0,-3.7318e+11,9.542e+16,1.8485e+12,0,5.625e+09,2.1723e+32,0,1,50623,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9944e+18,-6.869e+09,2.9944e+18,5.76e+11,0,0,1.9891e+12,4.2132e+28,19688,0,0,-3.6288e+11,9.4013e+16,1.8472e+12,0,5.625e+09,2.1066e+32,0,1,53123,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.993e+18,-7.4364e+09,2.993e+18,5.8625e+11,0,0,1.9878e+12,4.085e+28,19688,0,0,-3.5263e+11,9.258e+16,1.8459e+12,0,5.625e+09,2.0425e+32,0,1,55623,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9916e+18,-7.567e+09,2.9916e+18,5.9642e+11,0,0,1.9866e+12,3.96e+28,19688,0,0,-3.4245e+11,9.1123e+16,1.8446e+12,0,5.625e+09,1.98e+32,0,1,58123,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9901e+18,-7.7364e+09,2.9901e+18,6.0654e+11,0,0,1.9853e+12,3.838e+28,19688,0,0,-3.3234e+11,8.964e+16,1.8434e+12,0,5.625e+09,1.919e+32,0,1,60623,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9886e+18,-8.0064e+09,2.9886e+18,6.1659e+11,0,0,1.9841e+12,3.719e+28,19688,0,0,-3.2229e+11,8.8133e+16,1.8421e+12,0,5.625e+09,1.8595e+32,0,1,63123,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.987e+18,-8.2004e+09,2.987e+18,6.2657e+11,0,0,1.9828e+12,3.6028e+28,19688,0,0,-3.1231e+11,8.6602e+16,1.8409e+12,0,5.625e+09,1.8014e+32,0,1,65623,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9855e+18,-8.4382e+09,2.9855e+18,6.3649e+11,0,0,1.9816e+12,3.4895e+28,19688,0,0,-3.0239e+11,8.5047e+16,1.8397e+12,0,5.625e+09,1.7447e+32,0,1,68123,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9839e+18,1.0267e+10,2.9839e+18,6.4634e+11,0,0,1.9804e+12,3.3788e+28,19688,0,0,-2.9254e+11,8.3468e+16,1.8384e+12,0,5.625e+09,1.6894e+32,0,1,70623,937.5,1.5e+05,0
0,0,8.4375e+08,0,0,0,0,2.9823e+18,-3.9438e+06,2.9823e+18,6.5613e+11,0,0,1.9792e+12,3.2709e+28,19688,0,0,-2.8275e+11,8.1865e+16,1.8372e+12,0,5.625e+09,1.6354e+32,0,1,73123,937.5,1.5e+05,0
6193.9,0,8.4383e+08,0,-4.3767e-05,3.0764e+07,0,2.9809e+18,-1.6782e+12,2.9809e+18,6.6472e+11,3523.6,3371.5,1.9781e+12,3.1778e+28,19688,0.0040506,16447,-2.7416e+11,8.0432e+16,1.8362e+12,1.8422e-11,5.625e+09,1.5886e+32,0,1,75328,937.5,1.5e+05,0
47426,0,8.4392e+08,0,0.0001487,5.0102e+07,0,2.9794e+18,-2.5337e+13,2.9793e+18,6.7364e+11,27841,26590,1.977e+12,3.0825e+28,19688,0.011299,45909,-2.6524e+11,7.8912e+16,1.8351e+12,6.8221e-09,5.625e+09,1.5401e+32,0,1,77634,937.5,1.5e+05,0
1.527e+05,0,8.44e+08,0,0.0060518,4.3111e+07,0,2.9778e+18,-4.9142e+13,2.9778e+18,6.8275e+11,84084,80406,1.9759e+12,2.9867e+28,19688,0.019164,96152,-2.5613e+11,7.7322e+16,1.8339e+12,1.0314e-07,5.625e+09,1.4917e+32,0,1,80005,937.5,1.5e+05,0
2.7796e+05,0,8.4398e+08,0,0.010797,6.7716e+07,0,2.9761e+18,-3.8077e+14,2.9758e+18,6.9389e+11,1.8982e+05,1.8188e+05,1.9746e+12,2.8717e+28,19688,0.045971,1.8816e+05,-2.4499e+11,7.5331e+16,1.8325e+12,1.619e-06,5.625e+09,1.4342e+32,25851,1,82923,937.5,1.5e+05,0
5.3825e+05,0,8.4419e+08,0,-0.0036389,7.2334e+07,0,2.9743e+18,-3.6274e+13,2.9742e+18,7.0224e+11,2.9353e+05,2.8182e+05,1.9735e+12,2.7868e+28,19688,0.081725,3.2198e+05,-2.3664e+11,7.3796e+16,1.8315e+12,3.2477e-06,5.625e+09,1.3915e+32,44790,1,85127,937.5,1.5e+05,0
7.7372e+05,0,8.4427e+08,0,-0.0064201,7.156e+07,0,2.9724e+18,-2.7479e+13,2.9724e+18,7.1202e+11,4.354e+05,4.1865e+05,1.9723e+12,2.6891e+28,19688,0.11069,4.5098e+05,-2.2686e+11,7.1964e+16,1.8303e+12,9.3848e-06,5.625e+09,1.3424e+32,1.3174e+05,1,87722,937.5,1.5e+05,0
1.0422e+06,0,8.4432e+08,0,-0.0029042,1.1035e+08,0,2.9706e+18,-1.0803e+13,2.9705e+18,7.2166e+11,6.0207e+05,5.7992e+05,1.9711e+12,2.5946e+28,19688,0.1504,5.8682e+05,-2.1722e+11,7.0111e+16,1.8291e+12,1.9986e-05,5.625e+09,1.2951e+32,2.4106e+05,1,90299,937.5,1.5e+05,0
1.3446e+06,0,8.4447e+08,0,0.0084235,1.2542e+08,0,2.9687e+18,1.3194e+13,2.9687e+18,7.3111e+11,7.9822e+05,7.6875e+05,1.97e+12,2.5035e+28,19688,0.19011,7.4291e+05,-2.0777e+11,6.8249e+16,1.8279e+12,3.599e-05,5.625e+09,1.2494e+32,3.6292e+05,1,92842,937.5,1.5e+05,0
1.6387e+06,0,8.4459e+08,0,0.0084775,1.5016e+08,0,2.9667e+18,4.9227e+13,2.9668e+18,7.405e+11,1.043e+06,1.0047e+06,1.9688e+12,2.4145e+28,19688,0.25363,9.8821e+05,-1.9838e+11,6.6347e+16,1.8267e+12,6.2312e-05,5.625e+09,1.205e+32,5.0827e+05,1,95385,937.5,1.5e+05,0
2.0232e+06,0,8.4461e+08,0,1.8963e-05,1.2924e+08,0,2.9653e+18,-4.9395e+14,2.9649e+18,7.498e+11,1.2932e+06,1.2457e+06,1.9677e+12,2.3278e+28,19688,0.32226,1.2561e+06,-1.8908e+11,6.4417e+16,1.8256e+12,9.4884e-05,5.625e+09,1.1616e+32,6.8456e+05,1,97922,937.5,1.5e+05,0
2.4689e+06,0,8.4442e+08,0,0.033478,1.5063e+08,0,2.9632e+18,-1.7982e+13,2.9632e+18,7.5749e+11,1.4821e+06,1.4283e+06,1.9667e+12,2.2571e+28,19688,0.36161,1.4091e+06,-1.8139e+11,6.2786e+16,1.8246e+12,0.00011599,5.625e+09,1.1255e+32,9.5656e+05,1,1.0003e+05,937.5,1.5e+05,0
