"velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.05,0,0,-1.8217e-44,0,3.4157e+09,-4.3594e+06,3.4113e+09,1645.2,0,0,3437.3,5.0028e+18,3.5e-05,0,0,-0.18466,-7.3196e+06,3094,0,10,2.5014e+22,0,1,0,0,0,0
0,0.050001,0,0,-2.9427e-44,0,3.4088e+09,-4.3595e+06,3.4044e+09,1645.2,-1.0713e-15,1.1138e-06,3437.3,5.0028e+18,3.5e-05,0,0,-0.18536,-7.3195e+06,3093.4,0,10,2.5014e+22,0,1,200,0,200,0
0,0.050002,0,0,-4.0638e-44,0,3.4019e+09,-4.3595e+06,3.3975e+09,1645.1,-2.1426e-15,2.2276e-06,3437.2,5.0028e+18,3.5e-05,0,0,-0.18607,-7.3194e+06,3092.9,0,10,2.5014e+22,0,1,400,0,400,0
0,0.050003,0,0,-5.1848e-44,0,3.395e+09,-4.3595e+06,3.3907e+09,1645,-3.214e-15,3.3415e-06,3437.1,5.0028e+18,3.5e-05,0,0,-0.18677,-7.3193e+06,3092.3,0,10,2.5014e+22,0,1,600,0,600,0
0,0.050004,0,0,-1.227e-43,0,3.3882e+09,-4.3595e+06,3.3838e+09,1644.9,3.2485e-15,2.058e-06,3437,5.0029e+18,3.5e-05,0,0,-0.18755,-7.3192e+06,3091.7,0,10,2.5014e+22,0,1,800,0,800,0
0,0.050006,0,0,-2.0207e-43,0,3.3813e+09,-4.3595e+06,3.3769e+09,1644.8,1.0787e-14,4.3197e-07,3437,5.0029e+18,3.5e-05,0,0,-0.18834,-7.3192e+06,3091.2,0,10,2.5014e+22,0,1,1000,0,1000,0
0,0.050007,0,0,-2.8144e-43,0,3.3744e+09,-4.3595e+06,3.37e+09,1644.7,1.8326e-14,-1.194e-06,3436.9,5.0029e+18,3.5e-05,0,0,-0.18913,-7.3191e+06,3090.6,0,10,2.5014e+22,0,1,1200,0,1200,0
0,0.050008,0,0,-6.497e-43,0,3.3675e+09,-4.3595e+06,3.3632e+09,1644.6,1.4853e-14,-5.7085e-07,3436.8,5.0029e+18,3.5e-05,0,0,-0.18999,-7.319e+06,3090.1,0,10,2.5014e+22,0,1,1400,0,1400,0
0,0.050009,0,0,-1.1143e-42,0,3.3607e+09,-4.3595e+06,3.3563e+09,1644.5,7.7089e-15,8.0202e-07,3436.7,5.0029e+18,3.5e-05,0,0,-0.19087,-7.3189e+06,3089.5,0,10,2.5015e+22,0,1,1600,0,1600,0
0,0.05001,0,0,-1.5788e-42,0,3.3538e+09,-4.3595e+06,3.3494e+09,1644.4,5.6494e-16,2.1749e-06,3436.7,5.0029e+18,3.5e-05,0,0,-0.19175,-7.3189e+06,3088.9,0,10,2.5015e+22,0,1,1800,0,1800,0
0,0.050011,0,0,-3.4464e-42,0,3.3469e+09,-4.3596e+06,3.3426e+09,1644.3,-1.2701e-15,1.8796e-06,3436.6,5.0029e+18,3.5e-05,0,0,-0.19269,-7.3188e+06,3088.4,0,10,2.5015e+22,0,1,2000,0,2000,0
0,0.050012,0,0,-6.1557e-42,0,3.34e+09,-4.3596e+06,3.3357e+09,1644.2,8.0221e-17,5.8349e-07,3436.5,5.0029e+18,3.5e-05,0,0,-0.19368,-7.3187e+06,3087.8,0,10,2.5015e+22,0,1,2200,0,2200,0
0,0.050013,0,0,-8.865e-42,0,3.3332e+09,-4.3596e+06,3.3288e+09,1644.1,1.4305e-15,-7.1265e-07,3436.4,5.003e+18,3.5e-05,0,0,-0.19466,-7.3186e+06,3087.3,0,10,2.5015e+22,0,1,2400,0,2400,0
0,0.050014,0,0,-1.8115e-41,0,3.3263e+09,-4.3596e+06,3.3219e+09,1644,1.5554e-15,-4.7514e-07,3436.4,5.003e+18,3.5e-05,0,0,-0.1957,-7.3186e+06,3086.7,0,10,2.5015e+22,0,1,2600,0,2600,0
0,0.050015,0,0,-3.3907e-41,0,3.3194e+09,-4.3596e+06,3.3151e+09,1643.9,4.5491e-16,1.296e-06,3436.3,5.003e+18,3.5e-05,0,0,-0.19679,-7.3185e+06,3086.1,0,10,2.5015e+22,0,1,2800,0,2800,0
