"velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.05,0,0,-1.8217e-44,0,3.4148e+09,-4.3594e+06,3.4105e+09,1645.2,0,0,3437.3,5.0028e+18,3.5e-05,0,0,-0.18466,-8.1279e+06,3093.9,0,10,2.5014e+22,0,1,0,0,0,0
0,0.050001,0,0,-2.9427e-44,0,3.408e+09,-4.3594e+06,3.4036e+09,1645.2,-8.2001e-16,1.0936e-06,3437.3,5.0028e+18,3.5e-05,0,0,-0.18536,-8.1278e+06,3093.4,0,10,2.5014e+22,0,1,200,0,200,0
0,0.050002,0,0,-4.0638e-44,0,3.4011e+09,-4.3594e+06,3.3967e+09,1645.1,-1.64e-15,2.1872e-06,3437.2,5.0028e+18,3.5e-05,0,0,-0.18607,-8.1277e+06,3092.8,0,10,2.5014e+22,0,1,400,0,400,0
0,0.050003,0,0,-5.1848e-44,0,3.3942e+09,-4.3594e+06,3.3899e+09,1645,-2.46e-15,3.2808e-06,3437.1,5.0028e+18,3.5e-05,0,0,-0.18677,-8.1276e+06,3092.2,0,10,2.5014e+22,0,1,600,0,600,0
0,0.050004,0,0,-1.227e-43,0,3.3873e+09,-4.3595e+06,3.383e+09,1644.9,3.168e-15,2.0197e-06,3437,5.0029e+18,3.5e-05,0,0,-0.18755,-8.1275e+06,3091.7,0,10,2.5014e+22,0,1,800,0,800,0
0,0.050006,0,0,-2.0207e-43,0,3.3805e+09,-4.3595e+06,3.3761e+09,1644.8,9.7172e-15,4.2209e-07,3437,5.0029e+18,3.5e-05,0,0,-0.18834,-8.1274e+06,3091.1,0,10,2.5014e+22,0,1,1000,0,1000,0
0,0.050007,0,0,-2.8144e-43,0,3.3736e+09,-4.3595e+06,3.3692e+09,1644.7,1.6266e-14,-1.1755e-06,3436.9,5.0029e+18,3.5e-05,0,0,-0.18913,-8.1273e+06,3090.6,0,10,2.5014e+22,0,1,1200,0,1200,0
0,0.050008,0,0,-6.497e-43,0,3.3667e+09,-4.3595e+06,3.3624e+09,1644.6,1.3057e-14,-5.4463e-07,3436.8,5.0029e+18,3.5e-05,0,0,-0.18999,-8.1272e+06,3090,0,10,2.5014e+22,0,1,1400,0,1400,0
0,0.050009,0,0,-1.1143e-42,0,3.3599e+09,-4.3595e+06,3.3555e+09,1644.5,6.5954e-15,8.2902e-07,3436.7,5.0029e+18,3.5e-05,0,0,-0.19087,-8.1271e+06,3089.4,0,10,2.5015e+22,0,1,1600,0,1600,0
0,0.05001,0,0,-1.5788e-42,0,3.353e+09,-4.3595e+06,3.3486e+09,1644.4,1.3341e-16,2.2027e-06,3436.7,5.0029e+18,3.5e-05,0,0,-0.19175,-8.127e+06,3088.9,0,10,2.5015e+22,0,1,1800,0,1800,0
0,0.050011,0,0,-3.4464e-42,0,3.3461e+09,-4.3595e+06,3.3417e+09,1644.3,-1.4049e-15,1.8984e-06,3436.6,5.0029e+18,3.5e-05,0,0,-0.19269,-8.1269e+06,3088.3,0,10,2.5015e+22,0,1,2000,0,2000,0
0,0.050012,0,0,-6.1557e-42,0,3.3392e+09,-4.3595e+06,3.3349e+09,1644.2,1.0913e-17,5.8736e-07,3436.5,5.0029e+18,3.5e-05,0,0,-0.19368,-8.1268e+06,3087.7,0,10,2.5015e+22,0,1,2200,0,2200,0
0,0.050013,0,0,-8.865e-42,0,3.3324e+09,-4.3596e+06,3.328e+09,1644.1,1.4267e-15,-7.2367e-07,3436.4,5.003e+18,3.5e-05,0,0,-0.19466,-8.1267e+06,3087.2,0,10,2.5015e+22,0,1,2400,0,2400,0
0,0.050014,0,0,-1.8115e-41,0,3.3255e+09,-4.3596e+06,3.3211e+09,1644,1.662e-15,-4.9054e-07,3436.4,5.003e+18,3.5e-05,0,0,-0.1957,-8.1266e+06,3086.6,0,10,2.5015e+22,0,1,2600,0,2600,0
0,0.050015,0,0,-3.3907e-41,0,3.3186e+09,-4.3596e+06,3.3143e+09,1643.9,7.168e-16,1.2868e-06,3436.3,5.003e+18,3.5e-05,0,0,-0.19679,-8.1265e+06,3086.1,0,10,2.5015e+22,0,1,2800,0,2800,0
0,0.050016,0,0,-4.9698e-41,0,3.3117e+09,-4.3596e+06,3.3074e+09,1643.9,-2.2844e-16,3.0641e-06,3436.2,5.003e+18,3.5e-05,0,0,-0.19788,-8.1264e+06,3085.5,0,10,2.5015e+22,0,1,3000,0,3000,0
0,0.050018,0,0,-9.4082e-41,0,3.3049e+09,-4.3596e+06,3.3005e+09,1643.8,-5.0856e-16,3.6384e-06,3436.1,5.003e+18,3.5e-05,0,0,-0.19902,-8.1263e+06,3084.9,0,10,2.5015e+22,0,1,3200,0,3200,0
0,0.050019,0,0,-1.8612e-40,0,3.298e+09,-4.3596e+06,3.2936e+09,1643.7,3.1983e-16,2.2079e-06,3436,5.003e+18,3.5e-05,0,0,-0.20024,-8.1263e+06,3084.4,0,10,2.5015e+22,0,1,3400,0,3400,0
0,0.05002,0,0,-2.7816e-40,0,3.2911e+09,-4.3596e+06,3.2868e+09,1643.6,1.1482e-15,7.7737e-07,3436,5.0031e+18,3.5e-05,0,0,-0.20145,-8.1262e+06,3083.8,0,10,2.5015e+22,0,1,3600,0,3600,0
0,0.050021,0,0,-4.8129e-40,0,3.2843e+09,-4.3597e+06,3.2799e+09,1643.5,1.1721e-15,-1.3225e-08,3435.9,5.0031e+18,3.5e-05,0,0,-0.2027,-8.1261e+06,3083.2,0,10,2.5015e+22,0,1,3800,0,3800,0
0,0.050022,0,0,-1.0177e-39,0,3.2774e+09,-4.3597e+06,3.273e+09,1643.4,-1.2177e-15,1.1159e-06,3435.8,5.0031e+18,3.5e-05,0,0,-0.20404,-8.126e+06,3082.7,0,10,2.5016e+22,0,1,4000,0,4000,0
0,0.050023,0,0,-1.5542e-39,0,3.2705e+09,-4.3597e+06,3.2662e+09,1643.3,-3.6074e-15,2.2451e-06,3435.7,5.0031e+18,3.5e-05,0,0,-0.20539,-8.1259e+06,3082.1,0,10,2.5016e+22,0,1,4200,0,4200,0
0,0.050024,0,0,-2.4144e-39,0,3.2636e+09,-4.3597e+06,3.2593e+09,1643.2,-4.7014e-15,3.1574e-06,3435.7,5.0031e+18,3.5e-05,0,0,-0.20676,-8.1258e+06,3081.6,0,10,2.5016e+22,0,1,4400,0,4400,0
0,0.050025,0,0,-5.5409e-39,0,3.2568e+09,-4.3597e+06,3.2524e+09,1643.1,3.2753e-15,2.551e-06,3435.6,5.0032e+18,3.5e-05,0,0,-0.20825,-8.1257e+06,3081,0,10,2.5016e+22,0,1,4600,0,4600,0
0,0.050026,0,0,-8.6675e-39,0,3.2499e+09,-4.3598e+06,3.2455e+09,1643,1.1252e-14,1.9446e-06,3435.5,5.0032e+18,3.5e-05,0,0,-0.20974,-8.1256e+06,3080.4,0,10,2.5016e+22,0,1,4800,0,4800,0
0,0.050027,0,0,-1.1794e-38,0,3.243e+09,-4.3598e+06,3.2387e+09,1642.9,1.9229e-14,1.3382e-06,3435.4,5.0032e+18,3.5e-05,0,0,-0.21123,-8.1255e+06,3079.9,0,10,2.5016e+22,0,1,5000,0,5000,0
0,0.050029,0,0,-3.0017e-38,0,3.2362e+09,-4.3598e+06,3.2318e+09,1642.8,-7.8797e-15,1.6123e-06,3435.4,5.0032e+18,3.5e-05,0,0,-0.21289,-8.1254e+06,3079.3,0,10,2.5016e+22,0,1,5200,0,5200,0
0,0.05003,0,0,-4.824e-38,0,3.2293e+09,-4.3598e+06,3.2249e+09,1642.7,-3.4988e-14,1.8863e-06,3435.3,5.0033e+18,3.5e-05,0,0,-0.21454,-8.1253e+06,3078.7,0,10,2.5016e+22,0,1,5400,0,5400,0
0,0.050031,0,0,-6.6463e-38,0,3.2224e+09,-4.3598e+06,3.2181e+09,1642.6,-6.2097e-14,2.1604e-06,3435.2,5.0033e+18,3.5e-05,0,0,-0.21619,-8.1253e+06,3078.2,0,10,2.5016e+22,0,1,5600,0,5600,0
0,0.050032,0,0,-1.6168e-37,0,3.2155e+09,-4.3599e+06,3.2112e+09,1642.5,1.5471e-14,1.8175e-06,3435.1,5.0033e+18,3.5e-05,0,0,-0.21799,-8.1252e+06,3077.6,0,10,2.5017e+22,0,1,5800,0,5800,0
0,0.050033,0,0,-2.6789e-37,0,3.2087e+09,-4.3599e+06,3.2043e+09,1642.5,1.0799e-13,1.3864e-06,3435.1,5.0033e+18,3.5e-05,0,0,-0.21982,-8.1251e+06,3077,0,10,2.5017e+22,0,1,6000,0,6000,0
0,0.050034,0,0,-3.741e-37,0,3.2018e+09,-4.3599e+06,3.1974e+09,1642.4,2.0051e-13,9.5524e-07,3435,5.0034e+18,3.5e-05,0,0,-0.22164,-8.125e+06,3076.5,0,10,2.5017e+22,0,1,6200,0,6200,0
0,0.050035,0,0,-8.6493e-37,0,3.1949e+09,-4.3599e+06,3.1906e+09,1642.3,-1.4772e-14,1.2273e-06,3434.9,5.0034e+18,3.5e-05,0,0,-0.22361,-8.1249e+06,3075.9,0,10,2.5017e+22,0,1,6400,0,6400,0
0,0.050036,0,0,-1.484e-36,0,3.1881e+09,-4.36e+06,3.1837e+09,1642.2,-3.3266e-13,1.7338e-06,3434.8,5.0034e+18,3.5e-05,0,0,-0.22563,-8.1248e+06,3075.3,0,10,2.5017e+22,0,1,6600,0,6600,0
0,0.050037,0,0,-2.103e-36,0,3.1812e+09,-4.36e+06,3.1768e+09,1642.1,-6.5055e-13,2.2402e-06,3434.8,5.0035e+18,3.5e-05,0,0,-0.22764,-8.1247e+06,3074.8,0,10,2.5017e+22,0,1,6800,0,6800,0
0,0.050038,0,0,-4.5902e-36,0,3.1743e+09,-4.36e+06,3.17e+09,1642,-8.2358e-14,1.8373e-06,3434.7,5.0035e+18,3.5e-05,0,0,-0.22979,-8.1246e+06,3074.2,1.9058e-44,10,2.5017e+22,0,1,7000,0,7000,0
0,0.05004,0,0,-8.1982e-36,0,3.1675e+09,-4.3601e+06,3.1631e+09,1641.9,1.0175e-12,8.8882e-07,3434.6,5.0035e+18,3.5e-05,0,0,-0.23201,-8.1246e+06,3073.6,4.955e-44,10,2.5018e+22,0,1,7200,0,7200,0
0,0.050041,0,0,-1.1806e-35,0,3.1606e+09,-4.3601e+06,3.1562e+09,1641.8,2.1173e-12,-5.9701e-08,3434.5,5.0036e+18,3.5e-05,0,0,-0.23424,-8.1245e+06,3073,8.0042e-44,10,2.5018e+22,0,1,7400,0,7400,0
0,0.050042,0,0,-2.4125e-35,0,3.1537e+09,-4.3601e+06,3.1494e+09,1641.7,1.1199e-12,-1.4173e-07,3434.5,5.0036e+18,3.5e-05,0,0,-0.23658,-8.1244e+06,3072.5,8.0042e-44,10,2.5018e+22,0,1,7600,0,7600,0
0,0.050043,0,0,-4.5154e-35,0,3.1468e+09,-4.3602e+06,3.1425e+09,1641.6,-1.9749e-12,6.4273e-07,3434.4,5.0036e+18,3.5e-05,0,0,-0.23903,-8.1243e+06,3071.9,4.955e-44,10,2.5018e+22,0,1,7800,0,7800,0
