"velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.05,0,0,-1.8217e-44,0,3.4158e+09,-4.3594e+06,3.4114e+09,1645.2,0,0,3437.3,5.0028e+18,3.5e-05,0,0,-0.18466,-7.2189e+06,3094,0,10,2.5014e+22,0,1,0,0,0,0,0,0.05,0,-1.4013e-45,8.7903e-29,0,3.4115e+09,-15.018,3.4115e+09,1645.2,0,0,3437.3,5.0028e+18,3.5e-05,0,0,-0.18466,-7.1012e+06,3094,0,10,2.5014e+22,0,1,0,0,0,0,0,0.05,0,0,-1.8217e-44,0,3.4148e+09,-4.3594e+06,3.4105e+09,1645.2,0,0,3437.3,5.0028e+18,3.5e-05,0,0,-0.18466,-8.1279e+06,3093.9,0,10,2.5014e+22,0,1,0,0,0,0,0,0.05,0,0,-1.8217e-44,0,3.4157e+09,-4.3594e+06,3.4113e+09,1645.2,0,0,3437.3,5.0028e+18,3.5e-05,0,0,-0.18466,-7.3196e+06,3094,0,10,2.5014e+22,0,1,0,0,0,0
0,0.050001,0,0,-2.9427e-44,0,3.4089e+09,-4.3594e+06,3.4045e+09,1645.2,-4.1686e-17,9.5488e-07,3437.3,5.0028e+18,3.5e-05,0,0,-0.18536,-7.2189e+06,3093.4,0,10,2.5014e+22,0,1,200,0,200,0,0,0.05,0,-1.8497e-45,1.4416e-28,0,3.4046e+09,-15.908,3.4046e+09,1645.2,1.0918e-09,-5.2626e-07,3437.3,5.0028e+18,3.5e-05,0,0,-0.18537,-7.1011e+06,3093.4,6.3555e-35,10,2.5014e+22,0,1,200,0,200,0,0,0.050001,0,0,-2.9427e-44,0,3.408e+09,-4.3594e+06,3.4036e+09,1645.2,-8.2001e-16,1.0936e-06,3437.3,5.0028e+18,3.5e-05,0,0,-0.18536,-8.1278e+06,3093.4,0,10,2.5014e+22,0,1,200,0,200,0,0,0.050001,0,0,-2.9427e-44,0,3.4088e+09,-4.3595e+06,3.4044e+09,1645.2,-1.0713e-15,1.1138e-06,3437.3,5.0028e+18,3.5e-05,0,0,-0.18536,-7.3195e+06,3093.4,0,10,2.5014e+22,0,1,200,0,200,0
0,0.050002,0,0,-4.0638e-44,0,3.402e+09,-4.3595e+06,3.3976e+09,1645.1,-8.3373e-17,1.9098e-06,3437.2,5.0028e+18,3.5e-05,0,0,-0.18606,-7.2188e+06,3092.9,0,10,2.5014e+22,0,1,400,0,400,0,0,0.05,0,-2.2981e-45,2.0042e-28,0,3.3978e+09,-16.798,3.3978e+09,1645.1,2.1837e-09,-1.0525e-06,3437.2,5.0028e+18,3.5e-05,0,0,-0.18609,-7.101e+06,3092.9,1.2711e-34,10,2.5014e+22,0,1,400,0,400,0,0,0.050002,0,0,-4.0638e-44,0,3.4011e+09,-4.3594e+06,3.3967e+09,1645.1,-1.64e-15,2.1872e-06,3437.2,5.0028e+18,3.5e-05,0,0,-0.18607,-8.1277e+06,3092.8,0,10,2.5014e+22,0,1,400,0,400,0,0,0.050002,0,0,-4.0638e-44,0,3.4019e+09,-4.3595e+06,3.3975e+09,1645.1,-2.1426e-15,2.2276e-06,3437.2,5.0028e+18,3.5e-05,0,0,-0.18607,-7.3194e+06,3092.9,0,10,2.5014e+22,0,1,400,0,400,0
0,0.050003,0,0,-5.1848e-44,0,3.3951e+09,-4.3595e+06,3.3908e+09,1645,-1.2506e-16,2.8646e-06,3437.1,5.0028e+18,3.5e-05,0,0,-0.18677,-7.2187e+06,3092.3,0,10,2.5014e+22,0,1,600,0,600,0,0,0.05,0,-2.7465e-45,2.5668e-28,0,3.3909e+09,-17.687,3.3909e+09,1645,3.2755e-09,-1.5788e-06,3437.1,5.0028e+18,3.5e-05,0,0,-0.1868,-7.101e+06,3092.3,1.9066e-34,10,2.5014e+22,0,1,600,0,600,0,0,0.050003,0,0,-5.1848e-44,0,3.3942e+09,-4.3594e+06,3.3899e+09,1645,-2.46e-15,3.2808e-06,3437.1,5.0028e+18,3.5e-05,0,0,-0.18677,-8.1276e+06,3092.2,0,10,2.5014e+22,0,1,600,0,600,0,0,0.050003,0,0,-5.1848e-44,0,3.395e+09,-4.3595e+06,3.3907e+09,1645,-3.214e-15,3.3415e-06,3437.1,5.0028e+18,3.5e-05,0,0,-0.18677,-7.3193e+06,3092.3,0,10,2.5014e+22,0,1,600,0,600,0
0,0.050004,0,0,-1.227e-43,0,3.3883e+09,-4.3595e+06,3.3839e+09,1644.9,8.3499e-17,1.6901e-06,3437,5.0029e+18,3.5e-05,0,0,-0.18754,-7.2186e+06,3091.7,0,10,2.5014e+22,0,1,800,0,800,0,0,0.05,0,-5.9415e-45,6.0829e-28,0,3.384e+09,-15.424,3.384e+09,1644.9,2.6654e-09,-1.3347e-06,3437,5.0029e+18,3.5e-05,0,0,-0.18759,-7.1009e+06,3091.8,1.4358e-34,10,2.5014e+22,0,1,800,0,800,0,0,0.050004,0,0,-1.227e-43,0,3.3873e+09,-4.3595e+06,3.383e+09,1644.9,3.168e-15,2.0197e-06,3437,5.0029e+18,3.5e-05,0,0,-0.18755,-8.1275e+06,3091.7,0,10,2.5014e+22,0,1,800,0,800,0,0,0.050004,0,0,-1.227e-43,0,3.3882e+09,-4.3595e+06,3.3838e+09,1644.9,3.2485e-15,2.058e-06,3437,5.0029e+18,3.5e-05,0,0,-0.18755,-7.3192e+06,3091.7,0,10,2.5014e+22,0,1,800,0,800,0
0,0.050006,0,0,-2.0207e-43,0,3.3814e+09,-4.3595e+06,3.377e+09,1644.8,3.2781e-16,2.1134e-07,3437,5.0029e+18,3.5e-05,0,0,-0.18833,-7.2186e+06,3091.2,0,10,2.5014e+22,0,1,1000,0,1000,0,0,0.05,0,-9.5288e-45,1.0021e-27,0,3.3771e+09,-12.711,3.3771e+09,1644.8,1.8121e-09,-9.8069e-07,3437,5.0029e+18,3.5e-05,0,0,-0.18839,-7.1008e+06,3091.2,8.0687e-35,10,2.5014e+22,0,1,1000,0,1000,0,0,0.050006,0,0,-2.0207e-43,0,3.3805e+09,-4.3595e+06,3.3761e+09,1644.8,9.7172e-15,4.2209e-07,3437,5.0029e+18,3.5e-05,0,0,-0.18834,-8.1274e+06,3091.1,0,10,2.5014e+22,0,1,1000,0,1000,0,0,0.050006,0,0,-2.0207e-43,0,3.3813e+09,-4.3595e+06,3.3769e+09,1644.8,1.0787e-14,4.3197e-07,3437,5.0029e+18,3.5e-05,0,0,-0.18834,-7.3192e+06,3091.2,0,10,2.5014e+22,0,1,1000,0,1000,0
0,0.050007,0,0,-2.8144e-43,0,3.3745e+09,-4.3595e+06,3.3701e+09,1644.7,5.7211e-16,-1.2674e-06,3436.9,5.0029e+18,3.5e-05,0,0,-0.18912,-7.2185e+06,3090.6,0,10,2.5014e+22,0,1,1200,0,1200,0,0,0.05,0,-1.3116e-44,1.3959e-27,0,3.3703e+09,-9.9977,3.3703e+09,1644.7,9.5887e-10,-6.2662e-07,3436.9,5.0029e+18,3.5e-05,0,0,-0.18919,-7.1007e+06,3090.6,1.7795e-35,10,2.5014e+22,0,1,1200,0,1200,0,0,0.050007,0,0,-2.8144e-43,0,3.3736e+09,-4.3595e+06,3.3692e+09,1644.7,1.6266e-14,-1.1755e-06,3436.9,5.0029e+18,3.5e-05,0,0,-0.18913,-8.1273e+06,3090.6,0,10,2.5014e+22,0,1,1200,0,1200,0,0,0.050007,0,0,-2.8144e-43,0,3.3744e+09,-4.3595e+06,3.37e+09,1644.7,1.8326e-14,-1.194e-06,3436.9,5.0029e+18,3.5e-05,0,0,-0.18913,-7.3191e+06,3090.6,0,10,2.5014e+22,0,1,1200,0,1200,0
0,0.050008,0,0,-6.497e-43,0,3.3676e+09,-4.3595e+06,3.3633e+09,1644.6,3.7749e-16,-3.4814e-07,3436.8,5.0029e+18,3.5e-05,0,0,-0.18998,-7.2184e+06,3090.1,0,10,2.5014e+22,0,1,1400,0,1400,0,0,0.05,0,-3.0156e-44,3.2243e-27,0,3.3634e+09,-18.954,3.3634e+09,1644.6,4.7161e-10,-3.0521e-07,3436.8,5.0029e+18,3.5e-05,0,0,-0.19006,-7.1007e+06,3090.1,1.5748e-36,10,2.5014e+22,0,1,1400,0,1400,0,0,0.050008,0,0,-6.497e-43,0,3.3667e+09,-4.3595e+06,3.3624e+09,1644.6,1.3057e-14,-5.4463e-07,3436.8,5.0029e+18,3.5e-05,0,0,-0.18999,-8.1272e+06,3090,0,10,2.5014e+22,0,1,1400,0,1400,0,0,0.050008,0,0,-6.497e-43,0,3.3675e+09,-4.3595e+06,3.3632e+09,1644.6,1.4853e-14,-5.7085e-07,3436.8,5.0029e+18,3.5e-05,0,0,-0.18999,-7.319e+06,3090.1,0,10,2.5014e+22,0,1,1400,0,1400,0
0,0.050009,0,0,-1.1143e-42,0,3.3608e+09,-4.3595e+06,3.3564e+09,1644.5,3.6548e-17,1.3705e-06,3436.7,5.0029e+18,3.5e-05,0,0,-0.19085,-7.2183e+06,3089.5,0,10,2.5015e+22,0,1,1600,0,1600,0,0,0.05,0,-5.168e-44,5.5308e-27,0,3.3565e+09,-31.8,3.3565e+09,1644.5,1.0634e-10,5.3306e-09,3436.7,5.0029e+18,3.5e-05,0,0,-0.19095,-7.1006e+06,3089.5,9.1173e-37,10,2.5015e+22,0,1,1600,0,1600,0,0,0.050009,0,0,-1.1143e-42,0,3.3599e+09,-4.3595e+06,3.3555e+09,1644.5,6.5954e-15,8.2902e-07,3436.7,5.0029e+18,3.5e-05,0,0,-0.19087,-8.1271e+06,3089.4,0,10,2.5015e+22,0,1,1600,0,1600,0,0,0.050009,0,0,-1.1143e-42,0,3.3607e+09,-4.3595e+06,3.3563e+09,1644.5,7.7089e-15,8.0202e-07,3436.7,5.0029e+18,3.5e-05,0,0,-0.19087,-7.3189e+06,3089.5,0,10,2.5015e+22,0,1,1600,0,1600,0
0,0.05001,0,0,-1.5788e-42,0,3.3539e+09,-4.3595e+06,3.3495e+09,1644.4,-3.0439e-16,3.0891e-06,3436.7,5.0029e+18,3.5e-05,0,0,-0.19173,-7.2183e+06,3088.9,0,10,2.5015e+22,0,1,1800,0,1800,0,0,0.05,0,-7.3204e-44,7.8374e-27,0,3.3496e+09,-44.647,3.3496e+09,1644.4,-2.5892e-10,3.1587e-07,3436.7,5.0029e+18,3.5e-05,0,0,-0.19184,-7.1005e+06,3089,2.4865e-37,10,2.5015e+22,0,1,1800,0,1800,0,0,0.05001,0,0,-1.5788e-42,0,3.353e+09,-4.3595e+06,3.3486e+09,1644.4,1.3341e-16,2.2027e-06,3436.7,5.0029e+18,3.5e-05,0,0,-0.19175,-8.127e+06,3088.9,0,10,2.5015e+22,0,1,1800,0,1800,0,0,0.05001,0,0,-1.5788e-42,0,3.3538e+09,-4.3595e+06,3.3494e+09,1644.4,5.6494e-16,2.1749e-06,3436.7,5.0029e+18,3.5e-05,0,0,-0.19175,-7.3189e+06,3088.9,0,10,2.5015e+22,0,1,1800,0,1800,0
