"velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.05,0,0,-1.8217e-44,0,3.4158e+09,-4.3594e+06,3.4114e+09,1645.2,0,0,3437.3,5.0028e+18,3.5e-05,0,0,-0.18466,-7.2189e+06,3094,0,10,2.5014e+22,0,1,0,0,0,0
0,0.050001,0,0,-2.9427e-44,0,3.4089e+09,-4.3594e+06,3.4045e+09,1645.2,-4.1686e-17,9.5488e-07,3437.3,5.0028e+18,3.5e-05,0,0,-0.18536,-7.2189e+06,3093.4,0,10,2.5014e+22,0,1,200,0,200,0
0,0.050002,0,0,-4.0638e-44,0,3.402e+09,-4.3595e+06,3.3976e+09,1645.1,-8.3373e-17,1.9098e-06,3437.2,5.0028e+18,3.5e-05,0,0,-0.18606,-7.2188e+06,3092.9,0,10,2.5014e+22,0,1,400,0,400,0
0,0.050003,0,0,-5.1848e-44,0,3.3951e+09,-4.3595e+06,3.3908e+09,1645,-1.2506e-16,2.8646e-06,3437.1,5.0028e+18,3.5e-05,0,0,-0.18677,-7.2187e+06,3092.3,0,10,2.5014e+22,0,1,600,0,600,0
0,0.050004,0,0,-1.227e-43,0,3.3883e+09,-4.3595e+06,3.3839e+09,1644.9,8.3499e-17,1.6901e-06,3437,5.0029e+18,3.5e-05,0,0,-0.18754,-7.2186e+06,3091.7,0,10,2.5014e+22,0,1,800,0,800,0
0,0.050006,0,0,-2.0207e-43,0,3.3814e+09,-4.3595e+06,3.377e+09,1644.8,3.2781e-16,2.1134e-07,3437,5.0029e+18,3.5e-05,0,0,-0.18833,-7.2186e+06,3091.2,0,10,2.5014e+22,0,1,1000,0,1000,0
0,0.050007,0,0,-2.8144e-43,0,3.3745e+09,-4.3595e+06,3.3701e+09,1644.7,5.7211e-16,-1.2674e-06,3436.9,5.0029e+18,3.5e-05,0,0,-0.18912,-7.2185e+06,3090.6,0,10,2.5014e+22,0,1,1200,0,1200,0
0,0.050008,0,0,-6.497e-43,0,3.3676e+09,-4.3595e+06,3.3633e+09,1644.6,3.7749e-16,-3.4814e-07,3436.8,5.0029e+18,3.5e-05,0,0,-0.18998,-7.2184e+06,3090.1,0,10,2.5014e+22,0,1,1400,0,1400,0
0,0.050009,0,0,-1.1143e-42,0,3.3608e+09,-4.3595e+06,3.3564e+09,1644.5,3.6548e-17,1.3705e-06,3436.7,5.0029e+18,3.5e-05,0,0,-0.19085,-7.2183e+06,3089.5,0,10,2.5015e+22,0,1,1600,0,1600,0
0,0.05001,0,0,-1.5788e-42,0,3.3539e+09,-4.3595e+06,3.3495e+09,1644.4,-3.0439e-16,3.0891e-06,3436.7,5.0029e+18,3.5e-05,0,0,-0.19173,-7.2183e+06,3088.9,0,10,2.5015e+22,0,1,1800,0,1800,0
