"velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","nonadiabatic_pressure","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.05,0,-1.4013e-45,8.7903e-29,0,3.4115e+09,-15.018,3.4115e+09,1645.2,0,0,3437.3,5.0028e+18,3.5e-05,0,0,-0.18466,-7.1012e+06,3094,0,10,2.5014e+22,0,1,0,0,0,0
0,0.05,0,-1.8497e-45,1.4416e-28,0,3.4046e+09,-15.908,3.4046e+09,1645.2,1.0918e-09,-5.2626e-07,3437.3,5.0028e+18,3.5e-05,0,0,-0.18537,-7.1011e+06,3093.4,6.3555e-35,10,2.5014e+22,0,1,200,0,200,0
0,0.05,0,-2.2981e-45,2.0042e-28,0,3.3978e+09,-16.798,3.3978e+09,1645.1,2.1837e-09,-1.0525e-06,3437.2,5.0028e+18,3.5e-05,0,0,-0.18609,-7.101e+06,3092.9,1.2711e-34,10,2.5014e+22,0,1,400,0,400,0
0,0.05,0,-2.7465e-45,2.5668e-28,0,3.3909e+09,-17.687,3.3909e+09,1645,3.2755e-09,-1.5788e-06,3437.1,5.0028e+18,3.5e-05,0,0,-0.1868,-7.101e+06,3092.3,1.9066e-34,10,2.5014e+22,0,1,600,0,600,0
0,0.05,0,-5.9415e-45,6.0829e-28,0,3.384e+09,-15.424,3.384e+09,1644.9,2.6654e-09,-1.3347e-06,3437,5.0029e+18,3.5e-05,0,0,-0.18759,-7.1009e+06,3091.8,1.4358e-34,10,2.5014e+22,0,1,800,0,800,0
0,0.05,0,-9.5288e-45,1.0021e-27,0,3.3771e+09,-12.711,3.3771e+09,1644.8,1.8121e-09,-9.8069e-07,3437,5.0029e+18,3.5e-05,0,0,-0.18839,-7.1008e+06,3091.2,8.0687e-35,10,2.5014e+22,0,1,1000,0,1000,0
0,0.05,0,-1.3116e-44,1.3959e-27,0,3.3703e+09,-9.9977,3.3703e+09,1644.7,9.5887e-10,-6.2662e-07,3436.9,5.0029e+18,3.5e-05,0,0,-0.18919,-7.1007e+06,3090.6,1.7795e-35,10,2.5014e+22,0,1,1200,0,1200,0
0,0.05,0,-3.0156e-44,3.2243e-27,0,3.3634e+09,-18.954,3.3634e+09,1644.6,4.7161e-10,-3.0521e-07,3436.8,5.0029e+18,3.5e-05,0,0,-0.19006,-7.1007e+06,3090.1,1.5748e-36,10,2.5014e+22,0,1,1400,0,1400,0
0,0.05,0,-5.168e-44,5.5308e-27,0,3.3565e+09,-31.8,3.3565e+09,1644.5,1.0634e-10,5.3306e-09,3436.7,5.0029e+18,3.5e-05,0,0,-0.19095,-7.1006e+06,3089.5,9.1173e-37,10,2.5015e+22,0,1,1600,0,1600,0
0,0.05,0,-7.3204e-44,7.8374e-27,0,3.3496e+09,-44.647,3.3496e+09,1644.4,-2.5892e-10,3.1587e-07,3436.7,5.0029e+18,3.5e-05,0,0,-0.19184,-7.1005e+06,3089,2.4865e-37,10,2.5015e+22,0,1,1800,0,1800,0
0,0.05,0,-1.5975e-43,1.7106e-26,0,3.3428e+09,-38.2,3.3428e+09,1644.3,-1.294e-10,2.0162e-07,3436.6,5.0029e+18,3.5e-05,0,0,-0.1928,-7.1004e+06,3088.4,8.2158e-37,10,2.5015e+22,0,1,2000,0,2000,0
0,0.05,0,-2.853e-43,3.0551e-26,0,3.3359e+09,-20.177,3.3359e+09,1644.2,2.97e-10,-1.675e-07,3436.5,5.0029e+18,3.5e-05,0,0,-0.1938,-7.1004e+06,3087.8,2.1361e-36,10,2.5015e+22,0,1,2200,0,2200,0
0,0.05,0,-4.1086e-43,4.3997e-26,0,3.329e+09,-2.1544,3.329e+09,1644.1,7.2339e-10,-5.3661e-07,3436.4,5.003e+18,3.5e-05,0,0,-0.19479,-7.1003e+06,3087.3,3.4506e-36,10,2.5015e+22,0,1,2400,0,2400,0
0,0.05,0,-8.3887e-43,8.9903e-26,0,3.3222e+09,9.8036,3.3222e+09,1644,8.5067e-10,-4.4208e-07,3436.4,5.003e+18,3.5e-05,0,0,-0.19584,-7.1002e+06,3086.7,3.5017e-36,10,2.5015e+22,0,1,2600,0,2600,0
0,0.05,0,-1.5693e-42,1.6827e-25,0,3.3153e+09,15.697,3.3153e+09,1643.9,6.7883e-10,1.1609e-07,3436.3,5.003e+18,3.5e-05,0,0,-0.19695,-7.1002e+06,3086.1,2.2892e-36,10,2.5015e+22,0,1,2800,0,2800,0
0,0.05,0,-2.2998e-42,2.4664e-25,0,3.3084e+09,21.59,3.3084e+09,1643.9,5.0699e-10,6.7427e-07,3436.2,5.003e+18,3.5e-05,0,0,-0.19806,-7.1001e+06,3085.6,1.0768e-36,10,2.5015e+22,0,1,3000,0,3000,0
