"velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","artificial_viscosity_composition","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,3.8053e+06,3.6563e+05,4.1709e+06,293,0,0,3555.6,5.9405e+20,3.5e-05,0,0,-1307,2903.5,0,10,2.9702e+24,0,33.146,1,0,0,3e+05,0
0,-4.2302e-05,0,0,0,0,1.4065e+07,5.9646e+05,1.4661e+07,304.92,0,0,3554.3,5.7728e+20,3.5e-05,0,0,-1295.2,2903.5,0,10,2.8864e+24,0,33.146,1,300,0,2.997e+05,0
0,-8.4604e-05,0,0,0,0,2.4324e+07,8.273e+05,2.5151e+07,316.83,0,0,3553,5.605e+20,3.5e-05,0,0,-1283.4,2903.5,0,10,2.8025e+24,0,33.146,1,600,0,2.994e+05,0
0,-0.00012691,0,0,0,0,3.4583e+07,1.0581e+06,3.5641e+07,328.75,0,0,3551.7,5.4373e+20,3.5e-05,0,0,-1271.7,2903.5,0,10,2.7186e+24,0,33.146,1,900,0,2.991e+05,0
0,-0.00016921,0,0,0,0,4.4842e+07,1.289e+06,4.6131e+07,340.67,0,0,3550.4,5.2696e+20,3.5e-05,0,0,-1259.9,2903.5,0,10,2.6348e+24,0,33.146,1,1200,0,2.988e+05,0
0,-0.00021151,0,0,0,0,5.5102e+07,1.5198e+06,5.6621e+07,352.59,0,0,3549.2,5.1018e+20,3.5e-05,0,0,-1248.1,2903.5,0,10,2.5509e+24,0,33.146,1,1500,0,2.985e+05,0
0,-0.00025381,0,0,0,0,6.5361e+07,1.7506e+06,6.7111e+07,364.5,0,0,3547.9,4.9341e+20,3.5e-05,0,0,-1236.3,2903.5,0,10,2.4671e+24,0,33.146,1,1800,0,2.982e+05,0
0,-0.00029611,0,0,0,0,7.562e+07,1.9815e+06,7.7602e+07,376.42,0,0,3546.6,4.7664e+20,3.5e-05,0,0,-1224.5,2903.5,0,10,2.3832e+24,0,33.146,1,2100,0,2.979e+05,0
0,-0.00033842,0,0,0,0,8.5879e+07,2.2123e+06,8.8092e+07,388.34,0,0,3545.3,4.5987e+20,3.5e-05,0,0,-1212.7,2903.5,0,10,2.2993e+24,0,33.146,1,2400,0,2.976e+05,0
0,-0.00038072,0,0,0,0,9.6139e+07,2.4431e+06,9.8582e+07,400.26,0,0,3544,4.4309e+20,3.5e-05,0,0,-1201,2903.5,0,10,2.2155e+24,0,33.146,1,2700,0,2.973e+05,0
0,-0.00042302,0,0,0,0,1.064e+08,2.674e+06,1.0907e+08,412.17,0,0,3542.7,4.2632e+20,3.5e-05,0,0,-1189.2,2903.6,0,10,2.1316e+24,0,33.146,1,3000,0,2.97e+05,0
0,-0.00046532,0,0,0,0,1.1666e+08,2.9048e+06,1.1956e+08,424.09,0,0,3541.5,4.0955e+20,3.5e-05,0,0,-1177.4,2903.6,0,10,2.0477e+24,0,33.146,1,3300,0,2.967e+05,0
0,-0.00050762,0,0,0,0,1.2692e+08,3.1356e+06,1.3005e+08,436.01,0,0,3540.2,3.9277e+20,3.5e-05,0,0,-1165.6,2903.6,0,10,1.9639e+24,0,33.146,1,3600,0,2.964e+05,0
0,-0.00054993,0,0,0,0,1.3718e+08,3.3665e+06,1.4054e+08,447.93,0,0,3538.9,3.76e+20,3.5e-05,0,0,-1153.8,2903.6,0,10,1.88e+24,0,33.146,1,3900,0,2.961e+05,0
0,-0.00059223,0,0,0,0,1.4743e+08,3.5973e+06,1.5103e+08,459.84,0,0,3537.6,3.5923e+20,3.5e-05,0,0,-1142,2903.6,0,10,1.7961e+24,0,33.146,1,4200,0,2.958e+05,0
0,-0.00063453,0,0,0,0,1.5769e+08,3.8281e+06,1.6152e+08,471.76,0,0,3536.3,3.4246e+20,3.5e-05,0,0,-1130.3,2903.6,0,10,1.7123e+24,0,33.146,1,4500,0,2.955e+05,0
0,-0.0006769,0,0,0,0,1.6803e+08,3.9803e+06,1.7202e+08,483.55,0,0,3535.1,3.2854e+20,3.5e-05,0,0,-1118.6,2903.6,0,10,1.6427e+24,0,33.146,1,4800,0,2.952e+05,0
0,-0.00071939,0,0,0,0,1.7851e+08,4.0016e+06,1.8251e+08,495.1,0,0,3533.8,3.1937e+20,3.5e-05,0,0,-1107.2,2903.6,0,10,1.5969e+24,0,33.146,1,5100,0,2.949e+05,0
0,-0.00076188,0,0,0,0,1.8899e+08,4.0228e+06,1.9301e+08,506.66,0,0,3532.6,3.1021e+20,3.5e-05,0,0,-1095.8,2903.7,0,10,1.551e+24,0,33.146,1,5400,0,2.946e+05,0
0,-0.00080437,0,0,0,0,1.9947e+08,4.0441e+06,2.0351e+08,518.22,0,0,3531.3,3.0105e+20,3.5e-05,0,0,-1084.3,2903.7,0,10,1.5052e+24,0,33.146,1,5700,0,2.943e+05,0
0,-0.00084686,0,0,0,0,2.0994e+08,4.0653e+06,2.1401e+08,529.78,0,0,3530.1,2.9188e+20,3.5e-05,0,0,-1072.9,2903.7,0,10,1.4594e+24,0,33.146,1,6000,0,2.94e+05,0
0,-0.00088935,0,0,0,0,2.2042e+08,4.0865e+06,2.2451e+08,541.34,0,0,3528.8,2.8272e+20,3.5e-05,0,0,-1061.5,2903.7,0,10,1.4136e+24,0,33.146,1,6300,0,2.937e+05,0
0,-0.00093184,0,0,0,0,2.309e+08,4.1078e+06,2.35e+08,552.9,0,0,3527.6,2.7356e+20,3.5e-05,0,0,-1050.1,2903.7,0,10,1.3678e+24,0,33.146,1,6600,0,2.934e+05,0
0,-0.00097433,0,0,0,0,2.4137e+08,4.129e+06,2.455e+08,564.46,0,0,3526.4,2.6439e+20,3.5e-05,0,0,-1038.6,2903.7,0,10,1.322e+24,0,33.146,1,6900,0,2.931e+05,0
0,-0.0010168,0,0,0,0,2.5185e+08,4.1503e+06,2.56e+08,576.02,0,0,3525.1,2.5523e+20,3.5e-05,0,0,-1027.2,2903.8,0,10,1.2761e+24,0,33.146,1,7200,0,2.928e+05,0
0,-0.0010593,0,0,0,0,2.6233e+08,4.1715e+06,2.665e+08,587.58,0,0,3523.9,2.4606e+20,3.5e-05,0,0,-1015.8,2903.8,0,10,1.2303e+24,0,33.146,1,7500,0,2.925e+05,0
0,-0.0011018,0,0,0,0,2.728e+08,4.1927e+06,2.77e+08,599.13,0,0,3522.6,2.369e+20,3.5e-05,0,0,-1004.4,2903.8,0,10,1.1845e+24,0,33.146,1,7800,0,2.922e+05,0
0,-0.0011443,0,0,0,0,2.8328e+08,4.214e+06,2.8749e+08,610.69,0,0,3521.4,2.2774e+20,3.5e-05,0,0,-992.94,2903.8,0,10,1.1387e+24,0,33.146,1,8100,0,2.919e+05,0
0,-0.0011868,0,0,0,0,2.9376e+08,4.2352e+06,2.9799e+08,622.25,0,0,3520.2,2.1857e+20,3.5e-05,0,0,-981.52,2903.8,0,10,1.0929e+24,0,33.146,1,8400,0,2.916e+05,0
0,-0.0012293,0,0,0,0,3.0423e+08,4.2564e+06,3.0849e+08,633.81,0,0,3518.9,2.0941e+20,3.5e-05,0,0,-970.09,2903.8,0,10,1.0471e+24,0,33.146,1,8700,0,2.913e+05,0
0,-0.0012718,0,0,0,0,3.1471e+08,4.2777e+06,3.1899e+08,645.37,0,0,3517.7,2.0025e+20,3.5e-05,0,0,-958.67,2903.9,0,10,1.0012e+24,0,33.146,1,9000,0,2.91e+05,0
0,-0.0013143,0,0,0,0,3.2519e+08,4.2989e+06,3.2949e+08,656.93,0,0,3516.4,1.9108e+20,3.5e-05,0,0,-947.24,2903.9,0,10,9.5542e+23,0,33.146,1,9300,0,2.907e+05,0
0,-0.0013574,0,0,0,0,3.3569e+08,4.2769e+06,3.3997e+08,667.97,0,0,3515.2,1.8506e+20,3.5e-05,0,0,-936.34,2903.9,0,10,9.2531e+23,0,33.146,1,9600,0,2.904e+05,0
0,-0.0014009,0,0,0,0,3.4621e+08,4.2404e+06,3.5045e+08,678.84,0,0,3514.1,1.8009e+20,3.5e-05,0,0,-925.6,2904,0,10,9.0043e+23,0,33.146,1,9900,0,2.901e+05,0
0,-0.0014443,0,0,0,0,3.5672e+08,4.204e+06,3.6092e+08,689.71,0,0,3512.9,1.7511e+20,3.5e-05,0,0,-914.87,2904,0,10,8.7555e+23,0,33.146,1,10200,0,2.898e+05,0
0,-0.0014877,0,0,0,0,3.6723e+08,4.1675e+06,3.714e+08,700.57,0,0,3511.8,1.7013e+20,3.5e-05,0,0,-904.14,2904.1,0,10,8.5067e+23,0,33.146,1,10500,0,2.895e+05,0
0,-0.0015312,0,0,0,0,3.7775e+08,4.1311e+06,3.8188e+08,711.44,0,0,3510.6,1.6516e+20,3.5e-05,0,0,-893.4,2904.1,0,10,8.258e+23,0,33.146,1,10800,0,2.892e+05,0
0,-0.0015746,0,0,0,0,3.8826e+08,4.0946e+06,3.9235e+08,722.31,0,0,3509.4,1.6018e+20,3.5e-05,0,0,-882.67,2904.2,0,10,8.0092e+23,0,33.146,1,11100,0,2.889e+05,0
0,-0.001618,0,0,0,0,3.9877e+08,4.0582e+06,4.0283e+08,733.18,0,0,3508.3,1.5521e+20,3.5e-05,0,0,-871.94,2904.2,0,10,7.7604e+23,0,33.146,1,11400,0,2.886e+05,0
0,-0.0016614,0,0,0,0,4.0929e+08,4.0217e+06,4.1331e+08,744.05,0,0,3507.1,1.5023e+20,3.5e-05,0,0,-861.2,2904.3,0,10,7.5116e+23,0,33.146,1,11700,0,2.883e+05,0
0,-0.0017049,0,0,0,0,4.198e+08,3.9853e+06,4.2379e+08,754.92,0,0,3506,1.4526e+20,3.5e-05,0,0,-850.47,2904.4,0,10,7.2628e+23,0,33.146,1,12000,0,2.88e+05,0
0,-0.0017483,0,0,0,0,4.3031e+08,3.9488e+06,4.3426e+08,765.78,0,0,3504.8,1.4028e+20,3.5e-05,0,0,-839.74,2904.4,0,10,7.0141e+23,0,33.146,1,12300,0,2.877e+05,0
0,-0.0017917,0,0,0,0,4.4083e+08,3.9124e+06,4.4474e+08,776.65,0,0,3503.6,1.3531e+20,3.5e-05,0,0,-829,2904.5,0,10,6.7653e+23,0,33.146,1,12600,0,2.874e+05,0
0,-0.0018351,0,0,0,0,4.5134e+08,3.8759e+06,4.5522e+08,787.52,0,0,3502.5,1.3033e+20,3.5e-05,0,0,-818.27,2904.5,0,10,6.5165e+23,0,33.146,1,12900,0,2.871e+05,0
0,-0.0018786,0,0,0,0,4.6186e+08,3.8395e+06,4.6569e+08,798.39,0,0,3501.3,1.2535e+20,3.5e-05,0,0,-807.54,2904.6,0,10,6.2677e+23,0,33.146,1,13200,0,2.868e+05,0
0,-0.001922,0,0,0,0,4.7237e+08,3.803e+06,4.7617e+08,809.26,0,0,3500.1,1.2038e+20,3.5e-05,0,0,-796.8,2904.6,0,10,6.019e+23,0,33.146,1,13500,0,2.865e+05,0
0,-0.0019654,0,0,0,0,4.8288e+08,3.7665e+06,4.8665e+08,820.12,0,0,3499,1.154e+20,3.5e-05,0,0,-786.07,2904.7,0,10,5.7702e+23,0,33.146,1,13800,0,2.862e+05,0
0,-0.0020091,0,0,0,0,4.9339e+08,3.7292e+06,4.9712e+08,830.87,0,0,3497.8,1.1071e+20,3.5e-05,0,0,-775.46,2904.7,0,10,5.5355e+23,0,33.146,1,14100,0,2.859e+05,0
0,-0.0020544,0,0,0,0,5.0388e+08,3.6853e+06,5.0757e+08,840.78,0,0,3496.8,1.0798e+20,3.5e-05,0,0,-765.69,2904.9,0,10,5.3992e+23,0,33.146,1,14400,0,2.856e+05,0
0,-0.0020997,0,0,0,0,5.1437e+08,3.6414e+06,5.1801e+08,850.68,0,0,3495.7,1.0526e+20,3.5e-05,0,0,-755.91,2905,0,10,5.2629e+23,0,33.146,1,14700,0,2.853e+05,0
0,-0.0021449,0,0,0,0,5.2486e+08,3.5975e+06,5.2846e+08,860.59,0,0,3494.7,1.0253e+20,3.5e-05,0,0,-746.14,2905.1,0,10,5.1266e+23,0,33.146,1,15000,0,2.85e+05,0
0,-0.0021902,0,0,0,0,5.3535e+08,3.5537e+06,5.389e+08,870.5,0,0,3493.6,9.9807e+19,3.5e-05,0,0,-736.37,2905.2,0,10,4.9903e+23,0,33.146,1,15300,0,2.847e+05,0
0,-0.0022355,0,0,0,0,5.4583e+08,3.5098e+06,5.4934e+08,880.4,0,0,3492.6,9.7081e+19,3.5e-05,0,0,-726.6,2905.3,0,10,4.854e+23,0,33.146,1,15600,0,2.844e+05,0
0,-0.0022808,0,0,0,0,5.5632e+08,3.4659e+06,5.5979e+08,890.31,0,0,3491.5,9.4355e+19,3.5e-05,0,0,-716.83,2905.4,0,10,4.7178e+23,0,33.146,1,15900,0,2.841e+05,0
0,-0.0023261,0,0,0,0,5.6681e+08,3.422e+06,5.7023e+08,900.22,0,0,3490.5,9.163e+19,3.5e-05,0,0,-707.06,2905.6,0,10,4.5815e+23,0,33.146,1,16200,0,2.838e+05,0
0,-0.0023714,0,0,0,0,5.773e+08,3.3782e+06,5.8068e+08,910.12,0,0,3489.5,8.8904e+19,3.5e-05,0,0,-697.29,2905.7,0,10,4.4452e+23,0,33.146,1,16500,0,2.835e+05,0
0,-0.0024166,0,0,0,0,5.8779e+08,3.3343e+06,5.9112e+08,920.03,0,0,3488.4,8.6178e+19,3.5e-05,0,0,-687.52,2905.8,0,10,4.3089e+23,0,33.146,1,16800,0,2.832e+05,0
0,-0.0024619,0,0,0,0,5.9828e+08,3.2904e+06,6.0157e+08,929.93,0,0,3487.4,8.3453e+19,3.5e-05,0,0,-677.74,2905.9,0,10,4.1726e+23,0,33.146,1,17100,0,2.829e+05,0
0,-0.0025072,0,0,0,0,6.0876e+08,3.2465e+06,6.1201e+08,939.84,0,0,3486.3,8.0727e+19,3.5e-05,0,0,-667.97,2906,0,10,4.0364e+23,0,33.146,1,17400,0,2.826e+05,0
0,-0.0025525,0,0,0,0,6.1925e+08,3.2026e+06,6.2245e+08,949.75,0,0,3485.3,7.8001e+19,3.5e-05,0,0,-658.2,2906.2,0,10,3.9001e+23,0,33.146,1,17700,0,2.823e+05,0
0,-0.0025978,0,0,0,0,6.2974e+08,3.1588e+06,6.329e+08,959.65,0,0,3484.2,7.5276e+19,3.5e-05,0,0,-648.43,2906.3,0,10,3.7638e+23,0,33.146,1,18000,0,2.82e+05,0
0,-0.0026431,0,0,0,0,6.4023e+08,3.1149e+06,6.4334e+08,969.56,0,0,3483.2,7.255e+19,3.5e-05,0,0,-638.66,2906.4,0,10,3.6275e+23,0,33.146,1,18300,0,2.817e+05,0
0,-0.0026883,0,0,0,0,6.5072e+08,3.071e+06,6.5379e+08,979.47,0,0,3482.1,6.9825e+19,3.5e-05,0,0,-628.89,2906.5,0,10,3.4912e+23,0,33.146,1,18600,0,2.814e+05,0
0,-0.0027353,0,0,0,0,6.6118e+08,3.0314e+06,6.6421e+08,988.8,0,0,3481.1,6.77e+19,3.5e-05,0,0,-619.69,2906.7,0,10,3.385e+23,0,33.146,1,18900,0,2.811e+05,0
0,-0.0027839,0,0,0,0,6.7163e+08,2.9962e+06,6.7462e+08,997.55,0,0,3480.2,6.6176e+19,3.5e-05,0,0,-611.07,2906.9,0,10,3.3088e+23,0,33.146,1,19200,0,2.808e+05,0
0,-0.0028325,0,0,0,0,6.8207e+08,2.9609e+06,6.8503e+08,1006.3,0,0,3479.3,6.4652e+19,3.5e-05,0,0,-602.45,2907.1,0,10,3.2326e+23,0,33.146,1,19500,0,2.805e+05,0
0,-0.0028811,0,0,0,0,6.9251e+08,2.9256e+06,6.9544e+08,1015.1,0,0,3478.4,6.3128e+19,3.5e-05,0,0,-593.84,2907.3,0,10,3.1564e+23,0,33.146,1,19800,0,2.802e+05,0
0,-0.0029298,0,0,0,0,7.0296e+08,2.8904e+06,7.0585e+08,1023.8,0,0,3477.5,6.1604e+19,3.5e-05,0,0,-585.22,2907.5,0,10,3.0802e+23,0,33.146,1,20100,0,2.799e+05,0
0,-0.0029784,0,0,0,0,7.134e+08,2.8551e+06,7.1626e+08,1032.6,0,0,3476.6,6.0079e+19,3.5e-05,0,0,-576.6,2907.7,0,10,3.004e+23,0,33.146,1,20400,0,2.796e+05,0
0,-0.003027,0,0,0,0,7.2384e+08,2.8198e+06,7.2666e+08,1041.3,0,0,3475.7,5.8555e+19,3.5e-05,0,0,-567.98,2907.9,0,10,2.9278e+23,0,33.146,1,20700,0,2.793e+05,0
0,-0.0030756,0,0,0,0,7.3429e+08,2.7845e+06,7.3707e+08,1050.1,0,0,3474.7,5.7031e+19,3.5e-05,0,0,-559.36,2908.1,0,10,2.8516e+23,0,33.146,1,21000,0,2.79e+05,0
