"velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","peridotite","density","viscosity","thermal_expansivity","porosity_change","peridotite_change","nonadiabatic_temperature","melt_density","permeability","melt_viscosity","compaction_viscosity","melt_fraction","artificial_viscosity_composition","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,4.3128e+06,-23745,4.2891e+06,293,0,0,3555.5,5.9405e+20,3.5e-05,0,0,-1307,3137.2,0,10,2.9702e+24,0,33.146,1,0,0,3e+05,0
0,-4.159e-05,0,0,0,0,1.4803e+07,-23762,1.4779e+07,304.91,0,0,3554.1,5.7728e+20,3.5e-05,0,0,-1295.2,3136,0,10,2.8864e+24,0,33.146,1,300,0,2.997e+05,0
0,-8.318e-05,0,0,0,0,2.5292e+07,-23779,2.5269e+07,316.83,0,0,3552.7,5.6051e+20,3.5e-05,0,0,-1283.4,3134.8,0,10,2.8025e+24,0,33.146,1,600,0,2.994e+05,0
0,-0.00012477,0,0,0,0,3.5782e+07,-23795,3.5758e+07,328.74,0,0,3551.3,5.4374e+20,3.5e-05,0,0,-1271.7,3133.5,0,10,2.7187e+24,0,33.146,1,900,0,2.991e+05,0
0,-0.00016636,0,0,0,0,4.6272e+07,-23812,4.6248e+07,340.66,0,0,3549.9,5.2697e+20,3.5e-05,0,0,-1259.9,3132.3,0,10,2.6348e+24,0,33.146,1,1200,0,2.988e+05,0
0,-0.00020795,0,0,0,0,5.6762e+07,-23829,5.6738e+07,352.57,0,0,3548.5,5.102e+20,3.5e-05,0,0,-1248.1,3131.1,0,10,2.551e+24,0,33.146,1,1500,0,2.985e+05,0
0,-0.00024954,0,0,0,0,6.7251e+07,-23846,6.7228e+07,364.49,0,0,3547.1,4.9343e+20,3.5e-05,0,0,-1236.3,3129.8,0,10,2.4671e+24,0,33.146,1,1800,0,2.982e+05,0
0,-0.00029113,0,0,0,0,7.7741e+07,-23862,7.7717e+07,376.4,0,0,3545.7,4.7666e+20,3.5e-05,0,0,-1224.5,3128.6,0,10,2.3833e+24,0,33.146,1,2100,0,2.979e+05,0
0,-0.00033272,0,0,0,0,8.8231e+07,-23879,8.8207e+07,388.32,0,0,3544.3,4.5989e+20,3.5e-05,0,0,-1212.8,3127.3,0,10,2.2995e+24,0,33.146,1,2400,0,2.976e+05,0
0,-0.00037431,0,0,0,0,9.8721e+07,-23896,9.8697e+07,400.23,0,0,3542.9,4.4312e+20,3.5e-05,0,0,-1201,3126.1,0,10,2.2156e+24,0,33.146,1,2700,0,2.973e+05,0
0,-0.0004159,0,0,0,0,1.0921e+08,-23913,1.0919e+08,412.15,0,0,3541.5,4.2635e+20,3.5e-05,0,0,-1189.2,3124.9,0,10,2.1318e+24,0,33.146,1,3000,0,2.97e+05,0
0,-0.00045749,0,0,0,0,1.197e+08,-23929,1.1968e+08,424.06,0,0,3540.1,4.0958e+20,3.5e-05,0,0,-1177.4,3123.6,0,10,2.0479e+24,0,33.146,1,3300,0,2.967e+05,0
0,-0.00049908,0,0,0,0,1.3019e+08,-23946,1.3017e+08,435.97,0,0,3538.7,3.9281e+20,3.5e-05,0,0,-1165.6,3122.4,0,10,1.9641e+24,0,33.146,1,3600,0,2.964e+05,0
0,-0.00054067,0,0,0,0,1.4068e+08,-23963,1.4066e+08,447.89,0,0,3537.3,3.7604e+20,3.5e-05,0,0,-1153.9,3121.2,0,10,1.8802e+24,0,33.146,1,3900,0,2.961e+05,0
0,-0.00058226,0,0,0,0,1.5117e+08,-23979,1.5115e+08,459.8,0,0,3535.9,3.5927e+20,3.5e-05,0,0,-1142.1,3119.9,0,10,1.7964e+24,0,33.146,1,4200,0,2.958e+05,0
