"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","density","viscosity","thermal_expansivity","melt_density","permeability","melt_viscosity","compaction_viscosity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.001,0,-0.0006627,0,2.6968e-14,-0.00063116,0,1.1998e+07,3.2217,1.1998e+07,0,0.00025,3000,9.9975e+19,0,2500,5e-18,100,9.9975e+19,1,0,0,0,0
0.001,0,-0.0006627,0,-5.6336e-15,-0.00063116,0,1.1974e+07,2.5995,1.1974e+07,0,0.00025,3000,9.9975e+19,0,2500,5.0001e-18,100,9.9975e+19,1,0.8,0,0.8,0
0.001,0,-0.0006627,0,-1.2616e-14,-0.00063115,0,1.195e+07,2.0928,1.195e+07,0,0.00025,3000,9.9975e+19,0,2500,5.0003e-18,100,9.9975e+19,1,1.6,0,1.6,0
0.001,0,-0.0006627,0,-4.1872e-15,-0.00063115,0,1.1926e+07,1.6809,1.1926e+07,0,0.00025001,3000,9.9975e+19,0,2500,5.0004e-18,100,9.9975e+19,1,2.4,0,2.4,0
0.001,0,-0.0006627,0,2.8423e-15,-0.00063115,0,1.1902e+07,1.3513,1.1902e+07,0,0.00025001,3000,9.9975e+19,0,2500,5.0005e-18,100,9.9975e+19,1,3.2,0,3.2,0
0.001,0,-0.0006627,0,4.4676e-15,-0.00063115,0,1.1878e+07,1.0888,1.1878e+07,0,0.00025001,3000,9.9975e+19,0,2500,5.0006e-18,100,9.9975e+19,1,4,0,4,0
0.001,0,-0.0006627,0,-1.2242e-17,-0.00063115,0,1.1854e+07,0.87529,1.1854e+07,0,0.00025001,3000,9.9975e+19,0,2500,5.0007e-18,100,9.9975e+19,1,4.8,0,4.8,0
0.001,0,-0.0006627,0,-8.5751e-15,-0.00063115,0,1.183e+07,0.70176,1.183e+07,0,0.00025001,3000,9.9975e+19,0,2500,5.0007e-18,100,9.9975e+19,1,5.6,0,5.6,0
0.0010001,0,-0.0006627,0,-1.5598e-14,-0.00063115,0,1.1806e+07,0.56505,1.1806e+07,0,0.00025001,3000,9.9975e+19,0,2500,5.0008e-18,100,9.9975e+19,1,6.4,0,6.4,0
0.0010001,0,-0.0006627,0,-8.6467e-15,-0.00063114,0,1.1782e+07,0.45439,1.1782e+07,0,0.00025001,3000,9.9975e+19,0,2500,5.0009e-18,100,9.9975e+19,1,7.2,0,7.2,0
0.0010001,0,-0.0006627,0,1.6131e-15,-0.00063114,0,1.1758e+07,0.3644,1.1758e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0009e-18,100,9.9975e+19,1,8,0,8,0
0.0010001,0,-0.0006627,0,-4.4584e-16,-0.00063114,0,1.1734e+07,0.29203,1.1734e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.001e-18,100,9.9975e+19,1,8.8,0,8.8,0
0.0010001,0,-0.0006627,0,3.6872e-16,-0.00063114,0,1.171e+07,0.23474,1.171e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0011e-18,100,9.9975e+19,1,9.6,0,9.6,0
0.0010001,0,-0.0006627,0,2.9272e-15,-0.00063114,0,1.1686e+07,0.18812,1.1686e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0011e-18,100,9.9975e+19,1,10.4,0,10.4,0
0.0010001,0,-0.0006627,0,1.3439e-14,-0.00063114,0,1.1662e+07,0.15023,1.1662e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0012e-18,100,9.9975e+19,1,11.2,0,11.2,0
0.0010001,0,-0.0006627,0,1.9283e-14,-0.00063114,0,1.1638e+07,0.12025,1.1638e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0012e-18,100,9.9975e+19,1,12,0,12,0
0.0010001,0,-0.0006627,0,1.654e-14,-0.00063114,0,1.1614e+07,0.096149,1.1614e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0013e-18,100,9.9975e+19,1,12.8,0,12.8,0
0.0010001,0,-0.0006627,0,1.1483e-14,-0.00063114,0,1.159e+07,0.076564,1.159e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0013e-18,100,9.9975e+19,1,13.6,0,13.6,0
0.0010001,0,-0.0006627,0,3.6187e-15,-0.00063114,0,1.1566e+07,0.060745,1.1566e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0014e-18,100,9.9975e+19,1,14.4,0,14.4,0
0.0010001,0,-0.0006627,0,4.0627e-15,-0.00063114,0,1.1542e+07,0.048329,1.1542e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0014e-18,100,9.9975e+19,1,15.2,0,15.2,0
0.0010001,0,-0.0006627,0,1.4251e-15,-0.00063114,0,1.1518e+07,0.038233,1.1518e+07,0,0.00025002,3000,9.9975e+19,0,2500,5.0015e-18,100,9.9975e+19,1,16,0,16,0
0.0010001,0,-0.0006627,0,-3.1484e-15,-0.00063114,0,1.1494e+07,0.030042,1.1494e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0015e-18,100,9.9975e+19,1,16.8,0,16.8,0
0.0010001,0,-0.0006627,0,-6.2348e-15,-0.00063114,0,1.147e+07,0.023545,1.147e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0016e-18,100,9.9975e+19,1,17.6,0,17.6,0
0.0010001,0,-0.0006627,0,-1.0909e-14,-0.00063114,0,1.1446e+07,0.01838,1.1446e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0016e-18,100,9.9975e+19,1,18.4,0,18.4,0
0.0010001,0,-0.0006627,0,-1.1302e-14,-0.00063114,0,1.1422e+07,0.014197,1.1422e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0017e-18,100,9.9975e+19,1,19.2,0,19.2,0
0.0010001,0,-0.0006627,0,-4.092e-15,-0.00063114,0,1.1398e+07,0.010835,1.1398e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0017e-18,100,9.9975e+19,1,20,0,20,0
0.0010001,0,-0.0006627,0,7.6977e-15,-0.00063114,0,1.1374e+07,0.0082222,1.1374e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0018e-18,100,9.9975e+19,1,20.8,0,20.8,0
0.0010001,0,-0.0006627,0,9.4568e-15,-0.00063114,0,1.135e+07,0.0061412,1.135e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0018e-18,100,9.9975e+19,1,21.6,0,21.6,0
0.0010001,0,-0.0006627,0,2.4082e-16,-0.00063114,0,1.1326e+07,0.004467,1.1326e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0018e-18,100,9.9975e+19,1,22.4,0,22.4,0
0.0010001,0,-0.0006627,0,-7.837e-15,-0.00063114,0,1.1302e+07,0.0031496,1.1302e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0019e-18,100,9.9975e+19,1,23.2,0,23.2,0
0.0010001,0,-0.0006627,0,-5.3385e-15,-0.00063114,0,1.1278e+07,0.0021432,1.1278e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0019e-18,100,9.9975e+19,1,24,0,24,0
0.0010001,0,-0.0006627,0,6.8531e-15,-0.00063114,0,1.1254e+07,0.0013743,1.1254e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.002e-18,100,9.9975e+19,1,24.8,0,24.8,0
0.0010001,0,-0.0006627,0,1.0669e-14,-0.00063114,0,1.123e+07,0.00078119,1.123e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.002e-18,100,9.9975e+19,1,25.6,0,25.6,0
0.0010001,0,-0.0006627,0,2.4506e-15,-0.00063114,0,1.1206e+07,0.0003641,1.1206e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.002e-18,100,9.9975e+19,1,26.4,0,26.4,0
0.0010001,0,-0.0006627,0,-9.8654e-15,-0.00063114,0,1.1182e+07,5.2773e-05,1.1182e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0021e-18,100,9.9975e+19,1,27.2,0,27.2,0
0.0010001,0,-0.0006627,0,-4.6237e-15,-0.00063114,0,1.1158e+07,-0.00016007,1.1158e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0021e-18,100,9.9975e+19,1,28,0,28,0
0.0010001,0,-0.0006627,0,6.1901e-16,-0.00063114,0,1.1134e+07,-0.0002973,1.1134e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0021e-18,100,9.9975e+19,1,28.8,0,28.8,0
0.0010001,0,-0.0006627,0,-6.2372e-16,-0.00063114,0,1.111e+07,-0.00035014,1.111e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0022e-18,100,9.9975e+19,1,29.6,0,29.6,0
0.0010001,0,-0.0006627,0,9.8779e-17,-0.00063114,0,1.1086e+07,-0.00036548,1.1086e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0022e-18,100,9.9975e+19,1,30.4,0,30.4,0
0.0010001,0,-0.0006627,0,5.3623e-16,-0.00063114,0,1.1062e+07,-0.00032654,1.1062e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0022e-18,100,9.9975e+19,1,31.2,0,31.2,0
0.0010002,0,-0.0006627,0,-1.4775e-14,-0.00063114,0,1.1038e+07,-0.00025423,1.1038e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0023e-18,100,9.9975e+19,1,32,0,32,0
0.0010002,0,-0.0006627,0,-1.891e-14,-0.00063114,0,1.1014e+07,-0.0001621,1.1014e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0023e-18,100,9.9975e+19,1,32.8,0,32.8,0
0.0010002,0,-0.0006627,0,-1.1522e-14,-0.00063114,0,1.099e+07,-4.5417e-05,1.099e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0023e-18,100,9.9975e+19,1,33.6,0,33.6,0
0.0010002,0,-0.0006627,0,6.943e-16,-0.00063114,0,1.0966e+07,0.00010015,1.0966e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0023e-18,100,9.9975e+19,1,34.4,0,34.4,0
0.0010002,0,-0.0006627,0,6.4894e-15,-0.00063114,0,1.0942e+07,0.00025285,1.0942e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0024e-18,100,9.9975e+19,1,35.2,0,35.2,0
