"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","density","viscosity","thermal_expansivity","melt_density","permeability","melt_viscosity","compaction_viscosity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.001,0,-0.00016567,0,1.3693e-13,-0.00015779,0,1.1993e+07,-7.3075,1.1993e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,0,0,0,0
0.001,0,-0.00016567,0,-2.853e-13,-0.00015779,0,1.1969e+07,-5.7992,1.1969e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,0.8,0,0.8,0
0.001,0,-0.00016567,0,-7.7727e-16,-0.00015779,0,1.1945e+07,-4.5922,1.1945e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,1.6,0,1.6,0
0.001,0,-0.00016567,0,-1.1447e-13,-0.00015779,0,1.1921e+07,-3.6285,1.1921e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,2.4,0,2.4,0
0.001,0,-0.00016567,0,-1.1683e-13,-0.00015779,0,1.1897e+07,-2.8634,1.1897e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,3.2,0,3.2,0
0.001,0,-0.00016567,0,9.311e-14,-0.00015779,0,1.1873e+07,-2.2609,1.1873e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,4,0,4,0
0.001,0,-0.00016567,0,-1.6315e-13,-0.00015779,0,1.1849e+07,-1.7891,1.1849e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,4.8,0,4.8,0
0.001,0,-0.00016567,0,4.4481e-14,-0.00015779,0,1.1825e+07,-1.4173,1.1825e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,5.6,0,5.6,0
0.001,0,-0.00016567,0,1.12e-14,-0.00015779,0,1.1801e+07,-1.1243,1.1801e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,6.4,0,6.4,0
0.001,0,-0.00016567,0,4.6922e-14,-0.00015779,0,1.1777e+07,-0.88761,1.1777e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,7.2,0,7.2,0
0.001,0,-0.00016567,0,2.4551e-13,-0.00015779,0,1.1753e+07,-0.69602,1.1753e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,8,0,8,0
0.001,0,-0.00016567,0,5.9546e-14,-0.00015779,0,1.1729e+07,-0.54364,1.1729e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,8.8,0,8.8,0
0.001,0,-0.00016567,0,1.1066e-13,-0.00015779,0,1.1705e+07,-0.431,1.1705e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,9.6,0,9.6,0
0.001,0,-0.00016567,0,-2.3414e-14,-0.00015779,0,1.1681e+07,-0.34361,1.1681e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,10.4,0,10.4,0
0.001,0,-0.00016567,0,-7.8464e-15,-0.00015779,0,1.1657e+07,-0.27604,1.1657e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,11.2,0,11.2,0
0.001,0,-0.00016567,0,-1.2198e-14,-0.00015779,0,1.1633e+07,-0.22513,1.1633e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,12,0,12,0
0.001,0,-0.00016567,0,3.5653e-15,-0.00015779,0,1.1609e+07,-0.18225,1.1609e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,12.8,0,12.8,0
0.001,0,-0.00016567,0,-3.6256e-14,-0.00015779,0,1.1585e+07,-0.14578,1.1585e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,13.6,0,13.6,0
0.001,0,-0.00016567,0,-1.1229e-13,-0.00015779,0,1.1561e+07,-0.11392,1.1561e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,14.4,0,14.4,0
0.001,0,-0.00016567,0,-7.1031e-14,-0.00015779,0,1.1537e+07,-0.087675,1.1537e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,15.2,0,15.2,0
0.001,0,-0.00016567,0,1.7208e-14,-0.00015779,0,1.1513e+07,-0.065824,1.1513e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,16,0,16,0
0.001,0,-0.00016567,0,4.5953e-14,-0.00015779,0,1.1489e+07,-0.048658,1.1489e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,16.8,0,16.8,0
0.001,0,-0.00016567,0,8.6387e-15,-0.00015779,0,1.1465e+07,-0.036539,1.1465e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,17.6,0,17.6,0
0.001,0,-0.00016567,0,-1.7045e-14,-0.00015779,0,1.1441e+07,-0.028027,1.1441e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,18.4,0,18.4,0
0.001,0,-0.00016567,0,1.5241e-14,-0.00015779,0,1.1417e+07,-0.022658,1.1417e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,19.2,0,19.2,0
0.001,0,-0.00016567,0,5.5746e-14,-0.00015779,0,1.1393e+07,-0.018676,1.1393e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,20,0,20,0
0.001,0,-0.00016567,0,1.846e-14,-0.00015779,0,1.1369e+07,-0.016764,1.1369e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,20.8,0,20.8,0
0.001,0,-0.00016567,0,-3.7595e-14,-0.00015779,0,1.1345e+07,-0.015079,1.1345e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,21.6,0,21.6,0
0.001,0,-0.00016567,0,-4.6056e-14,-0.00015779,0,1.1321e+07,-0.013224,1.1321e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,22.4,0,22.4,0
0.001,0,-0.00016567,0,-3.5472e-15,-0.00015779,0,1.1297e+07,-0.0111,1.1297e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,23.2,0,23.2,0
0.001,0,-0.00016567,0,2.4837e-14,-0.00015779,0,1.1273e+07,-0.0088878,1.1273e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,24,0,24,0
0.001,0,-0.00016567,0,-4.8142e-15,-0.00015779,0,1.1249e+07,-0.0064597,1.1249e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,24.8,0,24.8,0
0.001,0,-0.00016567,0,-3.6149e-14,-0.00015779,0,1.1225e+07,-0.0040353,1.1225e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,25.6,0,25.6,0
0.001,0,-0.00016567,0,-3.1364e-14,-0.00015779,0,1.1202e+07,-0.0019611,1.1202e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,26.4,0,26.4,0
0.001,0,-0.00016567,0,1.0995e-14,-0.00015779,0,1.1178e+07,-0.00054269,1.1178e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,27.2,0,27.2,0
0.001,0,-0.00016567,0,2.1818e-14,-0.00015779,0,1.1154e+07,0.00017527,1.1154e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,28,0,28,0
0.001,0,-0.00016567,0,-9.9323e-15,-0.00015779,0,1.113e+07,0.00022829,1.113e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,28.8,0,28.8,0
0.001,0,-0.00016567,0,-1.2723e-14,-0.00015779,0,1.1106e+07,-0.00046018,1.1106e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,29.6,0,29.6,0
0.001,0,-0.00016567,0,-1.7346e-14,-0.00015779,0,1.1082e+07,-0.0014702,1.1082e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,30.4,0,30.4,0
0.001,0,-0.00016567,0,1.2527e-14,-0.00015779,0,1.1058e+07,-0.0030943,1.1058e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,31.2,0,31.2,0
0.001,0,-0.00016567,0,1.4589e-15,-0.00015779,0,1.1034e+07,-0.0046915,1.1034e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,32,0,32,0
0.001,0,-0.00016567,0,-8.1226e-15,-0.00015779,0,1.101e+07,-0.0063099,1.101e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,32.8,0,32.8,0
0.001,0,-0.00016567,0,-1.3507e-14,-0.00015779,0,1.0986e+07,-0.007634,1.0986e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,33.6,0,33.6,0
0.001,0,-0.00016567,0,-9.2286e-15,-0.00015779,0,1.0962e+07,-0.0085011,1.0962e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,34.4,0,34.4,0
0.001,0,-0.00016567,0,-1.9381e-15,-0.00015779,0,1.0938e+07,-0.0090721,1.0938e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,35.2,0,35.2,0
0.001,0,-0.00016567,0,-4.8716e-15,-0.00015779,0,1.0914e+07,-0.0088699,1.0914e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,36,0,36,0
0.001,0,-0.00016567,0,5.2619e-16,-0.00015779,0,1.089e+07,-0.0081894,1.089e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,36.8,0,36.8,0
0.001,0,-0.00016567,0,8.0458e-16,-0.00015779,0,1.0866e+07,-0.006865,1.0866e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,37.6,0,37.6,0
0.001,0,-0.00016567,0,-2.883e-15,-0.00015779,0,1.0842e+07,-0.0052385,1.0842e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,38.4,0,38.4,0
